Time[s] - Voltage	Amplitude [V] - Voltage	
0	-2.76973	
0.0001	-2.77071	
0.0002	-2.77039	
0.0003	-2.77006	
0.0004	-2.76973	
0.0005	-2.76941	
0.0006	-2.76973	
0.0007	-2.76876	
0.0008	-2.77006	
0.0009	-2.77039	
0.001	-2.76973	
0.0011	-2.77039	
0.0012	-2.77039	
0.0013	-2.76908	
0.0014	-2.77039	
0.0015	-2.77006	
0.0016	-2.77039	
0.0017	-2.77006	
0.0018	-2.77006	
0.0019	-2.77039	
0.002	-2.77039	
0.0021	-2.77104	
0.0022	2.79339	
0.0023	2.79111	
0.0024	2.78948	
0.0025	2.78981	
0.0026	2.78915	
0.0027	2.78752	
0.0028	2.7885	
0.0029	2.78818	
0.003	2.78883	
0.0031	2.78915	
0.0032	2.78687	
0.0033	2.78948	
0.0034	2.78687	
0.0035	2.7885	
0.0036	2.78883	
0.0037	2.78883	
0.0038	2.7885	
0.0039	2.78981	
0.004	2.78915	
0.0041	2.7885	
0.0042	2.78883	
0.0043	2.78818	
0.0044	2.78818	
0.0045	2.78883	
0.0046	2.78785	
0.0047	2.78752	
0.0048	2.78883	
0.0049	2.78915	
0.005	2.78883	
0.0051	2.78948	
0.0052	2.78883	
0.0053	2.78915	
0.0054	2.78915	
0.0055	2.78785	
0.0056	2.78883	
0.0057	2.78948	
0.0058	2.78818	
0.0059	2.78818	
0.006	2.78883	
0.0061	2.7872	
0.0062	2.78915	
0.0063	2.78883	
0.0064	2.7885	
0.0065	2.78915	
0.0066	2.78981	
0.0067	2.78883	
0.0068	2.78948	
0.0069	2.78948	
0.007	2.78883	
0.0071	2.78818	
0.0072	2.78915	
0.0073	2.78883	
0.0074	2.78915	
0.0075	2.78948	
0.0076	2.78948	
0.0077	2.7885	
0.0078	2.78948	
0.0079	2.78948	
0.008	2.79078	
0.0081	2.78915	
0.0082	2.78915	
0.0083	-2.7756	
0.0084	-2.77169	
0.0085	-2.77071	
0.0086	-2.76973	
0.0087	-2.76876	
0.0088	-2.77071	
0.0089	-2.76745	
0.009	-2.77039	
0.0091	-2.76941	
0.0092	-2.76876	
0.0093	-2.76941	
0.0094	-2.76973	
0.0095	-2.76876	
0.0096	-2.76908	
0.0097	-2.77006	
0.0098	-2.76941	
0.0099	-2.76973	
0.01	-2.76941	
0.0101	-2.76908	
0.0102	-2.77039	
0.0103	-2.76876	
0.0104	-2.76973	
0.0105	-2.76876	
0.0106	-2.77006	
0.0107	-2.76973	
0.0108	-2.76941	
0.0109	-2.76843	
0.011	-2.77071	
0.0111	-2.77169	
0.0112	-2.77039	
0.0113	-2.77006	
0.0114	-2.77039	
0.0115	-2.77136	
0.0116	-2.76908	
0.0117	-2.76973	
0.0118	-2.77006	
0.0119	-2.77039	
0.012	-2.76941	
0.0121	-2.77039	
0.0122	-2.77071	
0.0123	-2.76973	
0.0124	-2.76908	
0.0125	-2.76908	
0.0126	-2.77006	
0.0127	-2.77039	
0.0128	-2.77006	
0.0129	-2.76973	
0.013	-2.77006	
0.0131	-2.77006	
0.0132	-2.76941	
0.0133	-2.76973	
0.0134	-2.77202	
0.0135	-2.77039	
0.0136	-2.77039	
0.0137	-2.77071	
0.0138	-2.77006	
0.0139	-2.77039	
0.014	-2.77006	
0.0141	-2.77039	
0.0142	-2.77039	
0.0143	-2.77039	
0.0144	-2.77006	
0.0145	2.79241	
0.0146	2.79111	
0.0147	2.79046	
0.0148	2.78818	
0.0149	2.78981	
0.015	2.78981	
0.0151	2.7885	
0.0152	2.7885	
0.0153	2.78818	
0.0154	2.78818	
0.0155	2.79013	
0.0156	2.78687	
0.0157	2.78785	
0.0158	2.7885	
0.0159	2.78818	
0.016	2.78883	
0.0161	2.78752	
0.0162	2.7885	
0.0163	2.78752	
0.0164	2.78818	
0.0165	2.7885	
0.0166	2.78818	
0.0167	2.78818	
0.0168	2.78915	
0.0169	2.7885	
0.017	2.78948	
0.0171	2.78883	
0.0172	2.78883	
0.0173	2.78818	
0.0174	2.78883	
0.0175	2.78752	
0.0176	2.78915	
0.0177	2.7885	
0.0178	2.78915	
0.0179	2.78883	
0.018	2.78981	
0.0181	2.78981	
0.0182	2.78948	
0.0183	2.78915	
0.0184	2.78818	
0.0185	2.78915	
0.0186	2.78915	
0.0187	2.78818	
0.0188	2.7885	
0.0189	2.78948	
0.019	2.78915	
0.0191	2.78948	
0.0192	2.78818	
0.0193	2.7885	
0.0194	2.78948	
0.0195	2.78915	
0.0196	2.78915	
0.0197	2.78752	
0.0198	2.78981	
0.0199	2.78818	
0.02	2.78915	
0.0201	2.78948	
0.0202	2.78915	
0.0203	2.78948	
0.0204	2.78948	
0.0205	2.78883	
0.0206	-2.77527	
0.0207	-2.77299	
0.0208	-2.77071	
0.0209	-2.76876	
0.021	-2.76941	
0.0211	-2.77006	
0.0212	-2.76843	
0.0213	-2.76973	
0.0214	-2.77006	
0.0215	-2.77006	
0.0216	-2.76908	
0.0217	-2.76876	
0.0218	-2.76908	
0.0219	-2.76843	
0.022	-2.76908	
0.0221	-2.77039	
0.0222	-2.76973	
0.0223	-2.77006	
0.0224	-2.76876	
0.0225	-2.76908	
0.0226	-2.76876	
0.0227	-2.76973	
0.0228	-2.76941	
0.0229	-2.76876	
0.023	-2.76941	
0.0231	-2.77006	
0.0232	-2.77006	
0.0233	-2.77006	
0.0234	-2.76973	
0.0235	-2.76941	
0.0236	-2.76941	
0.0237	-2.77006	
0.0238	-2.77006	
0.0239	-2.77039	
0.024	-2.76973	
0.0241	-2.76941	
0.0242	-2.77039	
0.0243	-2.77104	
0.0244	-2.77006	
0.0245	-2.77006	
0.0246	-2.77071	
0.0247	-2.76973	
0.0248	-2.76973	
0.0249	-2.77039	
0.025	-2.77071	
0.0251	-2.77104	
0.0252	-2.77104	
0.0253	-2.77104	
0.0254	-2.77104	
0.0255	-2.77006	
0.0256	-2.77039	
0.0257	-2.77104	
0.0258	-2.76876	
0.0259	-2.77006	
0.026	-2.77006	
0.0261	-2.77006	
