Frequency (Hz) - Left Channel (Power Spectrum)	Amplitude - Left Channel (Power Spectrum)	Frequency (Hz) - Right Channel (Power Spectrum)	Amplitude - Right Channel (Power Spectrum)	
0	7.7071E-7	0	4.90489E-7	
2.666667	4.8948E-7	2.666667	6.36985E-7	
5.333333	6.57903E-7	5.333333	2.87792E-7	
8	7.23353E-8	8	1.8588E-7	
10.666667	9.64449E-8	10.666667	1.48242E-7	
13.333333	2.05642E-8	13.333333	6.37865E-8	
16	8.67606E-7	16	4.95806E-7	
18.666667	4.90178E-7	18.666667	6.30048E-7	
21.333333	5.40726E-8	21.333333	2.68207E-8	
24	1.43865E-6	24	1.3492E-6	
26.666667	6.00551E-7	26.666667	9.8944E-7	
29.333333	3.85899E-6	29.333333	3.88694E-6	
32	2.05169E-6	32	2.3008E-6	
34.666667	7.22283E-6	34.666667	5.93148E-6	
37.333333	4.3905E-6	37.333333	4.05408E-6	
40	3.73991E-6	40	2.81067E-6	
42.666667	2.80225E-6	42.666667	2.31189E-6	
45.333333	1.52934E-6	45.333333	1.05576E-6	
48	4.0698E-6	48	3.92424E-6	
50.666667	7.73588E-7	50.666667	7.3064E-7	
53.333333	5.34134E-6	53.333333	4.53915E-6	
56	1.85816E-6	56	1.97326E-6	
58.666667	4.1482E-5	58.666667	4.10102E-5	
61.333333	2.31491E-5	61.333333	2.11539E-5	
64	4.92765E-5	64	4.61165E-5	
66.666667	0.000114698	66.666667	0.000119437	
69.333333	0.000176027	69.333333	0.00018008	
72	3.31038E-5	72	3.44614E-5	
74.666667	1.6693E-5	74.666667	1.68496E-5	
77.333333	7.66587E-6	77.333333	7.57539E-6	
80	1.81168E-5	80	1.95113E-5	
82.666667	1.44504E-5	82.666667	1.81631E-5	
85.333333	3.63831E-6	85.333333	4.79115E-6	
88	1.13338E-5	88	1.57659E-5	
90.666667	1.13984E-5	90.666667	1.2056E-5	
93.333333	3.81747E-6	93.333333	3.275E-6	
96	1.07968E-5	96	1.41424E-5	
98.666667	2.10959E-7	98.666667	4.63044E-7	
101.333333	4.80756E-6	101.333333	4.39642E-6	
104	0.00011854	104	9.01992E-5	
106.666667	5.5891E-5	106.666667	4.53952E-5	
109.333333	0.000316561	109.333333	0.000216796	
112	0.000134856	112	7.69615E-5	
114.666667	4.59728E-6	114.666667	1.59145E-5	
117.333333	8.82646E-5	117.333333	6.42438E-5	
120	6.51209E-6	120	5.65982E-6	
122.666667	0.00025162	122.666667	0.00020683	
125.333333	2.47861E-6	125.333333	2.87861E-6	
128	2.02203E-5	128	2.02343E-5	
130.666667	6.24905E-5	130.666667	5.57126E-5	
133.333333	4.03432E-5	133.333333	4.07945E-5	
136	0.000106338	136	6.1908E-5	
138.666667	1.03771E-5	138.666667	7.94927E-6	
141.333333	7.11811E-5	141.333333	6.02735E-5	
144	1.26307E-5	144	8.94755E-6	
146.666667	7.99355E-6	146.666667	6.50095E-6	
149.333333	1.88446E-6	149.333333	1.01333E-6	
152	7.608E-6	152	1.00506E-5	
154.666667	1.08354E-6	154.666667	4.0954E-7	
157.333333	9.7324E-6	157.333333	9.65407E-6	
160	2.41513E-6	160	5.92754E-6	
162.666667	1.16617E-5	162.666667	3.34568E-6	
165.333333	1.43301E-6	165.333333	5.51098E-6	
168	1.45153E-6	168	1.83897E-6	
170.666667	3.83189E-6	170.666667	2.62697E-6	
173.333333	3.32436E-6	173.333333	1.70992E-6	
176	3.38195E-7	176	8.26644E-7	
178.666667	5.84697E-6	178.666667	5.02197E-6	
181.333333	6.73741E-6	181.333333	2.41456E-6	
184	1.23068E-5	184	2.03132E-5	
186.666667	2.59966E-6	186.666667	8.27101E-6	
189.333333	1.03537E-7	189.333333	1.67308E-6	
192	2.89819E-6	192	5.74986E-6	
194.666667	8.98499E-7	194.666667	2.75871E-6	
197.333333	4.23063E-6	197.333333	4.64681E-6	
200	5.40343E-6	200	6.86767E-6	
202.666667	3.57774E-6	202.666667	2.77635E-6	
205.333333	2.96436E-6	205.333333	5.91456E-6	
208	7.11488E-7	208	1.59106E-6	
210.666667	6.14715E-7	210.666667	1.19352E-6	
213.333333	2.08534E-7	213.333333	1.84752E-6	
216	2.69643E-7	216	3.51116E-6	
218.666667	8.48934E-7	218.666667	1.11059E-6	
221.333333	8.03572E-6	221.333333	2.07461E-6	
224	2.03799E-6	224	5.00381E-7	
226.666667	2.81172E-7	226.666667	7.68248E-7	
229.333333	5.1333E-7	229.333333	2.47504E-7	
232	1.88593E-6	232	2.94169E-7	
234.666667	4.56176E-8	234.666667	5.9014E-8	
237.333333	4.21277E-7	237.333333	5.391E-8	
240	8.63084E-8	240	7.07981E-7	
242.666667	3.61594E-6	242.666667	9.19345E-8	
245.333333	4.22233E-6	245.333333	6.83061E-7	
248	5.42557E-6	248	3.51611E-6	
250.666667	4.80353E-6	250.666667	7.97687E-7	
253.333333	2.37894E-6	253.333333	3.17501E-6	
256	8.20824E-8	256	1.84002E-7	
258.666667	6.97979E-7	258.666667	5.46191E-7	
261.333333	4.28752E-7	261.333333	1.18848E-6	
264	1.33864E-6	264	4.63461E-7	
266.666667	1.07809E-6	266.666667	3.78346E-7	
269.333333	1.78435E-7	269.333333	2.11002E-7	
272	7.61097E-8	272	4.93792E-8	
274.666667	9.35217E-7	274.666667	4.04822E-7	
277.333333	1.00309E-6	277.333333	2.97369E-6	
280	3.88654E-6	280	5.28262E-6	
282.666667	3.06137E-6	282.666667	4.21674E-6	
285.333333	3.71201E-8	285.333333	4.60696E-7	
288	1.43844E-6	288	2.34344E-6	
290.666667	1.61758E-9	290.666667	5.19266E-7	
293.333333	1.1491E-6	293.333333	4.29856E-7	
296	6.99296E-7	296	2.27523E-7	
298.666667	6.67576E-7	298.666667	5.0927E-7	
301.333333	4.08066E-7	301.333333	1.28066E-6	
304	6.44697E-8	304	1.36748E-6	
306.666667	1.01666E-6	306.666667	6.9227E-7	
309.333333	7.11923E-6	309.333333	1.21583E-5	
312	5.87658E-7	312	1.67514E-6	
314.666667	4.96891E-7	314.666667	3.09355E-8	
317.333333	2.22742E-6	317.333333	2.11851E-6	
320	4.52482E-7	320	1.23487E-7	
