Frequency (Hz) - Left Channel (Power Spectrum)	Amplitude - Left Channel (Power Spectrum)	Frequency (Hz) - Right Channel (Power Spectrum)	Amplitude - Right Channel (Power Spectrum)	
0	1.96049E-9	0	1.64463E-9	
2.666667	3.92141E-9	2.666667	3.28962E-9	
5.333333	3.92274E-9	5.333333	3.29069E-9	
8	3.92483E-9	8	3.29247E-9	
10.666667	3.92799E-9	10.666667	3.29519E-9	
13.333333	3.93201E-9	13.333333	3.29815E-9	
16	3.93745E-9	16	3.30384E-9	
18.666667	3.94422E-9	18.666667	3.31083E-9	
21.333333	3.95339E-9	21.333333	3.31519E-9	
24	3.95315E-9	24	3.32106E-9	
26.666667	3.96357E-9	26.666667	3.32945E-9	
29.333333	4.00413E-9	29.333333	3.36913E-9	
32	4.05719E-9	32	3.40371E-9	
34.666667	4.09882E-9	34.666667	3.44086E-9	
37.333333	4.13052E-9	37.333333	3.46102E-9	
40	3.95384E-9	40	3.27797E-9	
42.666667	3.57161E-9	42.666667	2.94645E-9	
45.333333	3.53289E-9	45.333333	2.9262E-9	
48	4.20085E-9	48	3.56746E-9	
50.666667	4.53516E-9	50.666667	3.83532E-9	
53.333333	3.92866E-9	53.333333	3.2481E-9	
56	3.9661E-9	56	3.36784E-9	
58.666667	5.02994E-9	58.666667	4.35619E-9	
61.333333	3.43744E-9	61.333333	2.78102E-9	
64	5.34526E-9	64	5.05468E-9	
66.666667	5.18766E-9	66.666667	4.77152E-9	
69.333333	9.80931E-9	69.333333	8.61386E-9	
72	2.59047E-9	72	2.24296E-9	
74.666667	3.34526E-9	74.666667	3.10921E-9	
77.333333	3.28289E-9	77.333333	2.77398E-9	
80	3.24418E-9	80	2.67859E-9	
82.666667	4.50187E-9	82.666667	3.70263E-9	
85.333333	5.56099E-9	85.333333	4.69902E-9	
88	3.05461E-9	88	2.68746E-9	
90.666667	2.23278E-9	90.666667	2.18084E-9	
93.333333	7.01431E-9	93.333333	7.34427E-9	
