Time [s] - Voltage_0 (Filtered)	Amplitude [V] - Voltage_0 (Filtered)	
0	0.000237747	
0.0001	0.000237657	
0.0002	0.000237545	
0.0003	0.000237411	
0.0004	0.000237253	
0.0005	0.00023707	
0.0006	0.000236861	
0.0007	0.000236625	
0.0008	0.000236362	
0.0009	0.000236071	
0.001	0.000235753	
0.0011	0.000235406	
0.0012	0.000235032	
0.0013	0.00023463	
0.0014	0.000234201	
0.0015	0.000233745	
0.0016	0.000233265	
0.0017	0.000232759	
0.0018	0.000232231	
0.0019	0.00023168	
0.002	0.00023111	
0.0021	0.00023052	
0.0022	0.000229914	
0.0023	0.000229293	
0.0024	0.000228659	
0.0025	0.000228015	
0.0026	0.000227362	
0.0027	0.000226703	
0.0028	0.000226041	
0.0029	0.000225378	
0.003	0.000224716	
0.0031	0.000224058	
0.0032	0.000223407	
0.0033	0.000222764	
0.0034	0.000222134	
0.0035	0.000221518	
0.0036	0.000220919	
0.0037	0.000220339	
0.0038	0.000219781	
0.0039	0.000219247	
0.004	0.00021874	
0.0041	0.000218261	
0.0042	0.000217813	
0.0043	0.000217397	
0.0044	0.000217015	
0.0045	0.00021667	
0.0046	0.000216362	
0.0047	0.000216093	
0.0048	0.000215865	
0.0049	0.000215678	
0.005	0.000215533	
0.0051	0.000215431	
0.0052	0.000215373	
0.0053	0.000215359	
0.0054	0.000215388	
0.0055	0.000215463	
0.0056	0.000215581	
0.0057	0.000215743	
0.0058	0.000215949	
0.0059	0.000216197	
0.006	0.000216487	
0.0061	0.000216817	
0.0062	0.000217187	
0.0063	0.000217595	
0.0064	0.00021804	
0.0065	0.000218519	
0.0066	0.000219032	
0.0067	0.000219575	
0.0068	0.000220148	
0.0069	0.000220746	
0.007	0.000221369	
0.0071	0.000222013	
0.0072	0.000222676	
0.0073	0.000223355	
0.0074	0.000224047	
0.0075	0.000224749	
0.0076	0.000225458	
0.0077	0.000226171	
0.0078	0.000226884	
0.0079	0.000227595	
0.008	0.000228301	
0.0081	0.000228997	
0.0082	0.000229681	
0.0083	0.000230349	
0.0084	0.000230998	
0.0085	0.000231624	
0.0086	0.000232226	
0.0087	0.000232798	
0.0088	0.000233339	
0.0089	0.000233844	
0.009	0.000234312	
0.0091	0.00023474	
0.0092	0.000235124	
0.0093	0.000235462	
0.0094	0.000235751	
0.0095	0.00023599	
0.0096	0.000236176	
0.0097	0.000236307	
0.0098	0.000236382	
0.0099	0.000236399	
0.01	0.000236356	
0.0101	0.000236253	
0.0102	0.000236088	
0.0103	0.000235861	
0.0104	0.000235572	
0.0105	0.000235221	
0.0106	0.000234807	
0.0107	0.000234331	
0.0108	0.000233793	
0.0109	0.000233195	
0.011	0.000232538	
0.0111	0.000231823	
0.0112	0.000231052	
0.0113	0.000230227	
0.0114	0.00022935	
0.0115	0.000228424	
0.0116	0.000227451	
0.0117	0.000226435	
0.0118	0.000225379	
0.0119	0.000224285	
0.012	0.000223159	
0.0121	0.000222004	
0.0122	0.000220824	
0.0123	0.000219624	
0.0124	0.000218408	
0.0125	0.00021718	
0.0126	0.000215946	
0.0127	0.00021471	
0.0128	0.000213478	
0.0129	0.000212254	
0.013	0.000211045	
0.0131	0.000209854	
0.0132	0.000208689	
0.0133	0.000207553	
0.0134	0.000206453	
0.0135	0.000205394	
0.0136	0.000204381	
0.0137	0.00020342	
0.0138	0.000202515	
0.0139	0.000201672	
0.014	0.000200896	
0.0141	0.000200192	
0.0142	0.000199565	
0.0143	0.000199019	
0.0144	0.000198558	
0.0145	0.000198187	
0.0146	0.00019791	
0.0147	0.000197731	
0.0148	0.000197652	
0.0149	0.000197678	
0.015	0.00019781	
0.0151	0.000198052	
0.0152	0.000198406	
0.0153	0.000198873	
0.0154	0.000199456	
