Time [s] - Voltage_0 (Filtered)	Amplitude [V] - Voltage_0 (Filtered)	
0	0.000313969	
0.0001	0.000310968	
0.0002	0.000307933	
0.0003	0.000304874	
0.0004	0.000301802	
0.0005	0.000298728	
0.0006	0.000295662	
0.0007	0.000292613	
0.0008	0.000289593	
0.0009	0.00028661	
0.001	0.000283674	
0.0011	0.000280794	
0.0012	0.000277978	
0.0013	0.000275235	
0.0014	0.000272573	
0.0015	0.000269998	
0.0016	0.000267518	
0.0017	0.00026514	
0.0018	0.000262869	
0.0019	0.00026071	
0.002	0.000258669	
0.0021	0.00025675	
0.0022	0.000254957	
0.0023	0.000253293	
0.0024	0.000251761	
0.0025	0.000250363	
0.0026	0.000249101	
0.0027	0.000247976	
0.0028	0.000246988	
0.0029	0.000246138	
0.003	0.000245425	
0.0031	0.000244848	
0.0032	0.000244406	
0.0033	0.000244097	
0.0034	0.000243919	
0.0035	0.000243868	
0.0036	0.000243942	
0.0037	0.000244138	
0.0038	0.00024445	
0.0039	0.000244876	
0.004	0.000245409	
0.0041	0.000246047	
0.0042	0.000246783	
0.0043	0.000247612	
0.0044	0.000248528	
0.0045	0.000249526	
0.0046	0.0002506	
0.0047	0.000251743	
0.0048	0.000252951	
0.0049	0.000254215	
0.005	0.000255531	
0.0051	0.000256892	
0.0052	0.000258291	
0.0053	0.000259723	
0.0054	0.00026118	
0.0055	0.000262658	
0.0056	0.00026415	
0.0057	0.000265649	
0.0058	0.00026715	
0.0059	0.000268648	
0.006	0.000270137	
0.0061	0.000271611	
0.0062	0.000273066	
0.0063	0.000274495	
0.0064	0.000275896	
0.0065	0.000277262	
0.0066	0.00027859	
0.0067	0.000279876	
0.0068	0.000281115	
0.0069	0.000282304	
0.007	0.00028344	
0.0071	0.00028452	
0.0072	0.000285541	
0.0073	0.000286499	
0.0074	0.000287394	
0.0075	0.000288222	
0.0076	0.000288982	
0.0077	0.000289672	
0.0078	0.000290292	
0.0079	0.000290839	
0.008	0.000291312	
0.0081	0.000291712	
0.0082	0.000292038	
0.0083	0.000292289	
0.0084	0.000292466	
0.0085	0.000292568	
0.0086	0.000292597	
0.0087	0.000292552	
0.0088	0.000292434	
0.0089	0.000292245	
0.009	0.000291985	
0.0091	0.000291655	
0.0092	0.000291258	
0.0093	0.000290794	
0.0094	0.000290265	
0.0095	0.000289673	
0.0096	0.00028902	
0.0097	0.000288308	
0.0098	0.000287539	
0.0099	0.000286716	
0.01	0.000285841	
0.0101	0.000284915	
0.0102	0.000283942	
0.0103	0.000282925	
0.0104	0.000281865	
0.0105	0.000280767	
0.0106	0.000279631	
0.0107	0.000278462	
0.0108	0.000277263	
0.0109	0.000276035	
0.011	0.000274783	
0.0111	0.000273508	
0.0112	0.000272215	
0.0113	0.000270905	
0.0114	0.000269583	
0.0115	0.000268251	
0.0116	0.000266912	
0.0117	0.000265569	
0.0118	0.000264225	
0.0119	0.000262884	
0.012	0.000261548	
0.0121	0.000260219	
0.0122	0.000258902	
0.0123	0.000257598	
0.0124	0.00025631	
0.0125	0.000255042	
0.0126	0.000253796	
0.0127	0.000252574	
0.0128	0.000251379	
0.0129	0.000250213	
0.013	0.000249079	
0.0131	0.000247979	
0.0132	0.000246915	
0.0133	0.00024589	
0.0134	0.000244904	
0.0135	0.000243961	
0.0136	0.000243061	
0.0137	0.000242206	
0.0138	0.000241398	
0.0139	0.000240638	
0.014	0.000239928	
0.0141	0.000239268	
0.0142	0.00023866	
0.0143	0.000238104	
0.0144	0.000237601	
0.0145	0.000237151	
0.0146	0.000236756	
0.0147	0.000236415	
0.0148	0.000236129	
0.0149	0.000235897	
0.015	0.000235719	
0.0151	0.000235596	
0.0152	0.000235527	
0.0153	0.000235511	
0.0154	0.000235547	
0.0155	0.000235636	
0.0156	0.000235775	
0.0157	0.000235964	
0.0158	0.000236203	
0.0159	0.000236488	
0.016	0.00023682	
0.0161	0.000237197	
0.0162	0.000237616	
0.0163	0.000238077	
0.0164	0.000238578	
0.0165	0.000239116	
0.0166	0.00023969	
0.0167	0.000240297	
0.0168	0.000240936	
0.0169	0.000241605	
0.017	0.000242301	
0.0171	0.000243021	
0.0172	0.000243764	
0.0173	0.000244528	
0.0174	0.000245309	
0.0175	0.000246106	
0.0176	0.000246916	
0.0177	0.000247737	
0.0178	0.000248565	
0.0179	0.0002494	
0.018	0.000250238	
0.0181	0.000251077	
0.0182	0.000251915	
0.0183	0.00025275	
0.0184	0.000253579	
0.0185	0.0002544	
0.0186	0.000255211	
0.0187	0.000256011	
0.0188	0.000256796	
0.0189	0.000257565	
0.019	0.000258317	
0.0191	0.00025905	
0.0192	0.000259761	
0.0193	0.000260451	
0.0194	0.000261116	
0.0195	0.000261756	
0.0196	0.000262371	
0.0197	0.000262957	
0.0198	0.000263516	
0.0199	0.000264045	
0.02	0.000264544	
0.0201	0.000265013	
0.0202	0.000265451	
0.0203	0.000265857	
0.0204	0.000266232	
0.0205	0.000266575	
0.0206	0.000266886	
0.0207	0.000267165	
0.0208	0.000267413	
0.0209	0.000267629	
0.021	0.000267814	
0.0211	0.000267969	
0.0212	0.000268095	
0.0213	0.000268191	
0.0214	0.000268258	
0.0215	0.000268298	
0.0216	0.000268311	
0.0217	0.000268299	
0.0218	0.000268262	
0.0219	0.000268201	
0.022	0.000268118	
0.0221	0.000268013	
0.0222	0.000267888	
0.0223	0.000267745	
0.0224	0.000267584	
0.0225	0.000267406	
0.0226	0.000267213	
0.0227	0.000267007	
0.0228	0.000266788	
0.0229	0.000266557	
0.023	0.000266317	
0.0231	0.000266067	
0.0232	0.00026581	
0.0233	0.000265546	
0.0234	0.000265277	
0.0235	0.000265003	
0.0236	0.000264725	
0.0237	0.000264445	
0.0238	0.000264163	
0.0239	0.000263879	
0.024	0.000263596	
0.0241	0.000263312	
0.0242	0.00026303	
0.0243	0.000262748	
0.0244	0.000262469	
0.0245	0.000262191	
0.0246	0.000261916	
0.0247	0.000261644	
0.0248	0.000261374	
0.0249	0.000261107	
0.025	0.000260843	
0.0251	0.000260581	
0.0252	0.000260323	
0.0253	0.000260067	
0.0254	0.000259813	
0.0255	0.000259562	
0.0256	0.000259312	
0.0257	0.000259064	
0.0258	0.000258818	
0.0259	0.000258573	
0.026	0.000258328	
0.0261	0.000258084	
0.0262	0.00025784	
0.0263	0.000257596	
0.0264	0.000257352	
0.0265	0.000257107	
0.0266	0.000256861	
0.0267	0.000256615	
0.0268	0.000256367	
0.0269	0.000256118	
0.027	0.000255868	
0.0271	0.000255617	
0.0272	0.000255365	
0.0273	0.000255112	
0.0274	0.000254858	
0.0275	0.000254604	
0.0276	0.000254349	
0.0277	0.000254095	
0.0278	0.000253842	
0.0279	0.000253591	
0.028	0.000253341	
0.0281	0.000253095	
0.0282	0.000252851	
0.0283	0.000252612	
