Time[s] - Voltage	Amplitude [V] - Voltage	
0	0.483542	
0.0001	0.817896	
0.0002	1.15258	
0.0003	1.48726	
0.0004	1.82291	
0.0005	2.15922	
0.0006	2.49423	
0.0007	2.7331	
0.0008	2.39679	
0.0009	2.06146	
0.001	1.72678	
0.0011	1.39243	
0.0012	1.05872	
0.0013	0.725672	
0.0014	0.392621	
0.0015	0.0598957	
0.0016	-0.273155	
0.0017	-0.605554	
0.0018	-0.938605	
0.0019	-1.27035	
0.002	-1.6034	
0.0021	-1.93678	
0.0022	-2.27016	
0.0023	-2.60256	
0.0024	-2.6019	
0.0025	-2.26625	
0.0026	-1.92994	
0.0027	-1.59493	
0.0028	-1.2609	
0.0029	-0.927525	
0.003	-0.592519	
0.0031	-0.258816	
0.0032	0.0758639	
0.0033	0.409892	
0.0034	0.744247	
0.0035	1.0786	
0.0036	1.41426	
0.0037	1.74861	
0.0038	2.08329	
0.0039	2.41928	
0.004	2.75591	
0.0041	2.47109	
0.0042	2.13674	
0.0043	1.80173	
0.0044	1.46705	
0.0045	1.13335	
0.0046	0.800299	
0.0047	0.465618	
0.0048	0.133545	
0.0049	-0.198528	
0.005	-0.531905	
0.0051	-0.864304	
0.0052	-1.1967	
0.0053	-1.52878	
0.0054	-1.86281	
0.0055	-2.19716	
0.0056	-2.52891	
0.0057	-2.67686	
0.0058	-2.33957	
0.0059	-2.00489	
0.006	-1.67021	
0.0061	-1.3352	
0.0062	-0.999219	
0.0063	-0.666494	
0.0064	-0.33214	
0.0065	0.00156291	
0.0066	0.335917	
0.0067	0.670924	
0.0068	1.00463	
0.0069	1.33931	
0.007	1.67464	
0.0071	2.01193	
0.0072	2.34628	
0.0073	2.68259	
0.0074	2.54442	
0.0075	2.20941	
0.0076	1.8744	
0.0077	1.54103	
0.0078	1.20537	
0.0079	0.872318	
0.008	0.538942	
0.0081	0.206868	
0.0082	-0.126509	
0.0083	-0.458582	
0.0084	-0.791633	
0.0085	-1.12371	
0.0086	-1.45676	
0.0087	-1.78916	
0.0088	-2.12221	
0.0089	-2.45591	
0.009	-2.75181	
0.0091	-2.41355	
0.0092	-2.07821	
0.0093	-1.74353	
0.0094	-1.40853	
0.0095	-1.07385	
0.0096	-0.740795	
0.0097	-0.406441	
0.0098	-0.0720863	
0.0099	0.261616	
0.01	0.595971	
0.0101	0.931303	
0.0102	1.26501	
0.0103	1.60034	
0.0104	1.936	
0.0105	2.27231	
0.0106	2.60731	
0.0107	2.61807	
0.0108	2.28208	
0.0109	1.94708	
0.011	1.61142	
0.0111	1.27804	
0.0112	0.94499	
0.0113	0.611939	
0.0114	0.279866	
0.0115	-0.0548146	
0.0116	-0.385584	
0.0117	-0.718635	
0.0118	-1.05136	
0.0119	-1.38506	
0.012	-1.71746	
0.0121	-2.05149	
0.0122	-2.38422	
0.0123	-2.71727	
0.0124	-2.48687	
0.0125	-2.15121	
0.0126	-1.81523	
0.0127	-1.4812	
0.0128	-1.14717	
0.0129	-0.812489	
0.013	-0.478461	
0.0131	-0.14378	
0.0132	0.190248	
0.0133	0.523951	
0.0134	0.858631	
0.0135	1.19364	
0.0136	1.52864	
0.0137	1.8643	
0.0138	2.20061	
0.0139	2.53594	
0.014	2.69172	
0.0141	2.35541	
0.0142	2.01942	
0.0143	1.68539	
0.0144	1.35104	
0.0145	1.01799	
0.0146	0.684285	
0.0147	0.351234	
0.0148	0.0188346	
0.0149	-0.314542	
0.015	-0.647267	
0.0151	-0.979666	
0.0152	-1.31239	
0.0153	-1.64544	
0.0154	-1.97817	
0.0155	-2.31122	
0.0156	-2.64394	
0.0157	-2.55987	
0.0158	-2.22453	
0.0159	-1.8879	
0.016	-1.55387	
0.0161	-1.22017	
0.0162	-0.885487	
0.0163	-0.551784	
0.0164	-0.218733	
0.0165	0.116273	
0.0166	0.450628	
0.0167	0.78596	
0.0168	1.11934	
0.0169	1.45499	
0.017	1.78968	
0.0171	2.12729	
0.0172	2.46229	
0.0173	2.76504	
0.0174	2.42873	
0.0175	2.0934	
0.0176	1.75806	
0.0177	1.42436	
0.0178	1.08968	
0.0179	0.757282	
0.018	0.423905	
0.0181	0.0908545	
0.0182	-0.241871	
0.0183	-0.574596	
0.0184	-0.906669	
0.0185	-1.23842	
0.0186	-1.57179	
0.0187	-1.90647	
0.0188	-2.23952	
0.0189	-2.5729	
0.019	-2.63384	
0.0191	-2.29688	
0.0192	-1.96187	
0.0193	-1.62687	
0.0194	-1.29219	
0.0195	-0.958158	
0.0196	-0.625107	
0.0197	-0.289775	
0.0198	0.0445793	
0.0199	0.377956	
0.02	0.712636	
0.0201	1.04732	
0.0202	1.38265	
0.0203	1.71831	
0.0204	2.05364	
0.0205	2.38865	
0.0206	2.72463	
0.0207	2.5014	
0.0208	2.16542	
0.0209	1.83139	
0.021	1.49606	
0.0211	1.16203	
0.0212	0.829954	
0.0213	0.496903	
0.0214	0.164178	
0.0215	-0.169199	
0.0216	-0.501924	
0.0217	-0.83302	
0.0218	-1.16607	
0.0219	-1.49977	
0.022	-1.8325	
0.0221	-2.16457	
0.0222	-2.49827	
0.0223	-2.70684	
0.0224	-2.37053	
0.0225	-2.03683	
0.0226	-1.70084	
0.0227	-1.36681	
0.0228	-1.03148	
0.0229	-0.697127	
0.023	-0.364076	
0.0231	-0.0293958	
0.0232	0.304307	
0.0233	0.638987	
0.0234	0.973016	
0.0235	1.30867	
0.0236	1.64401	
0.0237	1.97934	
0.0238	2.31369	
0.0239	2.65065	
0.024	2.57603	
0.0241	2.24037	
0.0242	1.90504	
0.0243	1.57133	
0.0244	1.23763	
0.0245	0.903929	
0.0246	0.570878	
0.0247	0.237501	
0.0248	-0.0955498	
0.0249	-0.427623	
0.025	-0.760348	
0.0251	-1.0934	
0.0252	-1.42612	
0.0253	-1.75852	
0.0254	-2.09255	
0.0255	-2.42495	
0.0256	-2.75865	
0.0257	-2.44516	
0.0258	-2.11015	
0.0259	-1.77514	
0.026	-1.43981	
0.0261	-1.10448	
0.0262	-0.771428	
0.0263	-0.4374	
0.0264	-0.103045	
0.0265	0.231309	
0.0266	0.56599	
0.0267	0.899041	
0.0268	1.23535	
0.0269	1.57036	
0.027	1.90536	
0.0271	2.24102	
0.0272	2.577	
0.0273	2.64968	
0.0274	2.31402	
0.0275	1.97869	
0.0276	1.64531	
0.0277	1.3103	
0.0278	0.976601	
0.0279	0.643875	
0.028	0.310173	
0.0281	-0.0219006	
0.0282	-0.355277	
0.0283	-0.686699	
0.0284	-1.02138	
0.0285	-1.35215	
0.0286	-1.68585	
0.0287	-2.01955	
0.0288	-2.35228	
0.0289	-2.68468	
0.029	-2.51848	
0.0291	-2.18282	
0.0292	-1.84781	
0.0293	-1.51444	
0.0294	-1.17748	
0.0295	-0.844426	
0.0296	-0.510723	
0.0297	-0.176368	
0.0298	0.158638	
0.0299	0.492992	
0.03	0.826369	
0.0301	1.16105	
0.0302	1.49606	
0.0303	1.83237	
0.0304	2.16802	
0.0305	2.50303	
0.0306	2.72496	
0.0307	2.38734	
0.0308	2.05299	
0.0309	1.71863	
0.031	1.3846	
0.0311	1.05058	
0.0312	0.716547	
0.0313	0.383496	
0.0314	0.050771	
0.0315	-0.281628	
0.0316	-0.614679	
0.0317	-0.94773	
0.0318	-1.28078	
0.0319	-1.61285	
0.032	-1.94688	
0.0321	-2.27928	
0.0322	-2.61396	
0.0323	-2.59115	
0.0324	-2.25582	
0.0325	-1.91951	
0.0326	-1.58581	
0.0327	-1.25243	
0.0328	-0.916445	
0.0329	-0.582417	
0.033	-0.248062	
0.0331	0.0853145	
0.0332	0.419669	
0.0333	0.754349	
0.0334	1.08838	
0.0335	1.42436	
0.0336	1.75969	
0.0337	2.0947	
0.0338	2.43134	
0.0339	2.76699	
0.034	2.45904	
0.0341	2.1224	
0.0342	1.78805	
0.0343	1.45467	
0.0344	1.12064	
0.0345	0.787263	
0.0346	0.453887	
0.0347	0.121487	
0.0348	-0.21189	
0.0349	-0.544289	
0.035	-0.876688	
0.0351	-1.20941	
0.0352	-1.54246	
0.0353	-1.87617	
0.0354	-2.20857	
0.0355	-2.54259	
0.0356	-2.6635	
0.0357	-2.32719	
0.0358	-1.99218	
0.0359	-1.65652	
0.036	-1.32217	
0.0361	-0.987488	
0.0362	-0.653785	
0.0363	-0.319756	
0.0364	0.0149241	
0.0365	0.348627	
0.0366	0.683959	
0.0367	1.01799	
0.0368	1.35136	
0.0369	1.68767	
0.037	2.02268	
0.0371	2.35932	
0.0372	2.69465	
0.0373	2.53203	
0.0374	2.1954	
0.0375	1.86039	
0.0376	1.52604	
0.0377	1.19233	
0.0378	0.858306	
0.0379	0.524603	
0.038	0.192855	
