Time[s] - Voltage_0	Amplitude [V] - Voltage_0	
0	7.92975E-5	
0.0001	0.000147575	
0.0002	0.000557237	
0.0003	0.000215852	
0.0004	0.000215852	
0.0005	0.000284129	
0.0006	0.000284129	
0.0007	0.000352406	
0.0008	0.000215852	
0.0009	0.000284129	
0.001	0.000420683	
0.0011	0.000420683	
0.0012	0.000420683	
0.0013	0.000352406	
0.0014	0.000147575	
0.0015	0.000147575	
0.0016	7.92975E-5	
0.0017	0.000147575	
0.0018	0.00048896	
0.0019	0.000625514	
0.002	0.000284129	
0.0021	0.000147575	
0.0022	7.92975E-5	
0.0023	0.000147575	
0.0024	1.10204E-5	
0.0025	1.10204E-5	
0.0026	0.000762068	
0.0027	0.000352406	
0.0028	-5.72567E-5	
0.0029	0.000147575	
0.003	-0.000193811	
0.0031	0.000420683	
0.0032	1.10204E-5	
0.0033	0.000420683	
0.0034	0.00048896	
0.0035	0.000215852	
0.0036	0.000215852	
0.0037	1.10204E-5	
0.0038	-5.72567E-5	
0.0039	0.000147575	
0.004	0.000215852	
0.0041	0.000420683	
0.0042	0.000215852	
0.0043	0.00048896	
0.0044	-5.72567E-5	
0.0045	0.000147575	
0.0046	0.00048896	
0.0047	0.000215852	
0.0048	0.000215852	
0.0049	0.000352406	
0.005	0.000284129	
0.0051	-5.72567E-5	
0.0052	0.000215852	
0.0053	0.000352406	
0.0054	0.000147575	
0.0055	0.000147575	
0.0056	0.00048896	
0.0057	0.000420683	
0.0058	0.000215852	
0.0059	0.000215852	
0.006	7.92975E-5	
0.0061	0.000215852	
0.0062	0.000284129	
0.0063	7.92975E-5	
0.0064	0.000557237	
0.0065	0.000420683	
0.0066	0.00048896	
0.0067	0.000420683	
0.0068	0.000215852	
0.0069	0.000147575	
0.007	-0.000193811	
0.0071	0.000284129	
0.0072	0.000625514	
0.0073	0.000284129	
0.0074	0.00048896	
0.0075	1.10204E-5	
0.0076	0.000352406	
0.0077	0.000215852	
0.0078	0.000352406	
0.0079	0.000352406	
0.008	0.000147575	
0.0081	0.000420683	
0.0082	0.000284129	
0.0083	-0.000193811	
0.0084	0.000215852	
0.0085	0.000284129	
0.0086	0.000352406	
0.0087	-5.72567E-5	
0.0088	0.000420683	
0.0089	0.000420683	
0.009	0.000147575	
0.0091	0.000284129	
0.0092	0.000147575	
0.0093	0.000284129	
0.0094	0.00048896	
0.0095	-5.72567E-5	
0.0096	7.92975E-5	
0.0097	0.000557237	
0.0098	7.92975E-5	
0.0099	0.000215852	
0.01	0.000215852	
0.0101	7.92975E-5	
0.0102	0.000557237	
0.0103	0.000284129	
0.0104	0.000420683	
0.0105	0.000284129	
0.0106	0.000284129	
0.0107	0.000420683	
0.0108	0.000215852	
0.0109	0.000352406	
0.011	7.92975E-5	
0.0111	0.000420683	
0.0112	0.000284129	
0.0113	0.000147575	
0.0114	-5.72567E-5	
0.0115	0.000352406	
0.0116	0.000284129	
0.0117	0.00048896	
0.0118	0.000352406	
0.0119	0.000215852	
0.012	0.000352406	
0.0121	-0.000125534	
0.0122	0.000284129	
0.0123	0.000420683	
0.0124	7.92975E-5	
0.0125	0.00048896	
0.0126	0.000420683	
0.0127	0.000147575	
0.0128	0.000215852	
0.0129	-5.72567E-5	
0.013	7.92975E-5	
0.0131	0.000147575	
0.0132	0.000352406	
0.0133	7.92975E-5	
0.0134	0.000352406	
0.0135	7.92975E-5	
0.0136	0.000352406	
0.0137	0.000557237	
0.0138	0.000352406	
0.0139	0.00048896	
0.014	0.000420683	
0.0141	0.000284129	
0.0142	0.000215852	
0.0143	0.000420683	
0.0144	-0.000125534	
0.0145	0.000284129	
0.0146	1.10204E-5	
0.0147	0.000898622	
0.0148	0.000215852	
0.0149	1.10204E-5	
0.015	0.000352406	
0.0151	7.92975E-5	
0.0152	0.000215852	
0.0153	0.000215852	
0.0154	0.000625514	
0.0155	0.000284129	
0.0156	7.92975E-5	
0.0157	0.000625514	
0.0158	1.10204E-5	
0.0159	0.000147575	
0.016	1.10204E-5	
0.0161	0.000557237	
0.0162	0.000352406	
0.0163	0.000284129	
0.0164	-5.72567E-5	
0.0165	0.000557237	
0.0166	0.000557237	
0.0167	0.000215852	
0.0168	-0.000125534	
0.0169	0.000284129	
0.017	-0.000125534	
0.0171	0.00048896	
0.0172	0.000693791	
0.0173	0.000420683	
