Frequency [Hz] - Voltage_0 (FFT - (Peak))	Peak Magnitude [V] - Voltage_0 (FFT - (Peak))	
0	0.000318272	
10	6.0445E-6	
20	9.36304E-6	
30	1.50041E-5	
40	8.25442E-6	
50	1.44426E-5	
60	1.0622E-5	
70	1.01035E-5	
80	1.23705E-5	
90	2.03361E-5	
100	7.27972E-6	
110	9.44543E-6	
120	1.83915E-6	
130	5.08314E-7	
140	1.02448E-6	
150	9.82086E-7	
160	5.0451E-7	
170	4.57716E-7	
180	4.33485E-7	
190	3.93169E-7	
200	3.5276E-7	
210	3.27253E-7	
220	3.04478E-7	
230	2.81984E-7	
240	2.6082E-7	
250	2.47222E-7	
260	2.33217E-7	
270	2.21278E-7	
280	2.10984E-7	
290	2.01374E-7	
300	1.92817E-7	
310	1.84833E-7	
320	1.7766E-7	
330	1.71044E-7	
340	1.64906E-7	
350	1.59254E-7	
360	1.53984E-7	
370	1.49121E-7	
380	1.44565E-7	
390	1.40271E-7	
400	1.36244E-7	
410	1.32465E-7	
420	1.28894E-7	
430	1.25516E-7	
440	1.22329E-7	
450	1.19316E-7	
460	1.16447E-7	
470	1.13717E-7	
480	1.11123E-7	
490	1.08649E-7	
500	1.06287E-7	
510	1.04031E-7	
520	1.01875E-7	
530	9.98083E-8	
540	9.7829E-8	
550	9.59309E-8	
560	9.41075E-8	
570	9.2355E-8	
580	9.06696E-8	
590	8.90473E-8	
600	8.74845E-8	
610	8.59781E-8	
620	8.4525E-8	
630	8.31221E-8	
640	8.17672E-8	
650	8.04575E-8	
660	7.9191E-8	
670	7.79655E-8	
680	7.67789E-8	
690	7.56295E-8	
700	7.45154E-8	
710	7.34351E-8	
720	7.23871E-8	
730	7.13698E-8	
740	7.03821E-8	
750	6.94225E-8	
760	6.84899E-8	
770	6.75831E-8	
780	6.67012E-8	
790	6.5843E-8	
800	6.50077E-8	
810	6.41942E-8	
820	6.34019E-8	
830	6.26298E-8	
840	6.18772E-8	
850	6.11433E-8	
860	6.04275E-8	
870	5.97291E-8	
880	5.90475E-8	
890	5.83821E-8	
900	5.77322E-8	
910	5.70975E-8	
920	5.64773E-8	
930	5.58711E-8	
940	5.52786E-8	
950	5.46992E-8	
960	5.41325E-8	
970	5.35781E-8	
980	5.30355E-8	
990	5.25046E-8	
1000	5.19847E-8	
1010	5.14757E-8	
1020	5.09772E-8	
1030	5.04889E-8	
1040	5.00104E-8	
1050	4.95415E-8	
1060	4.90818E-8	
1070	4.86312E-8	
1080	4.81894E-8	
1090	4.7756E-8	
1100	4.73309E-8	
1110	4.69139E-8	
1120	4.65047E-8	
1130	4.61031E-8	
1140	4.57088E-8	
1150	4.53218E-8	
1160	4.49418E-8	
1170	4.45685E-8	
1180	4.4202E-8	
1190	4.38418E-8	
1200	4.3488E-8	
1210	4.31403E-8	
1220	4.27986E-8	
1230	4.24628E-8	
1240	4.21326E-8	
1250	4.1808E-8	
1260	4.14888E-8	
1270	4.11748E-8	
1280	4.08661E-8	
1290	4.05623E-8	
1300	4.02635E-8	
1310	3.99695E-8	
1320	3.96801E-8	
1330	3.93953E-8	
1340	3.9115E-8	
1350	3.88391E-8	
1360	3.85675E-8	
1370	3.83E-8	
1380	3.80366E-8	
1390	3.77772E-8	
1400	3.75217E-8	
1410	3.727E-8	
1420	3.70221E-8	
1430	3.67778E-8	
1440	3.65372E-8	
1450	3.63E-8	
1460	3.60662E-8	
1470	3.58359E-8	
1480	3.56088E-8	
1490	3.53849E-8	
1500	3.51642E-8	
1510	3.49466E-8	
1520	3.4732E-8	
1530	3.45204E-8	
1540	3.43118E-8	
1550	3.41059E-8	
1560	3.39029E-8	
1570	3.37026E-8	
1580	3.35051E-8	
1590	3.33101E-8	
1600	3.31178E-8	
1610	3.2928E-8	
1620	3.27407E-8	
1630	3.25559E-8	
1640	3.23734E-8	
1650	3.21933E-8	
1660	3.20156E-8	
1670	3.18401E-8	
1680	3.16668E-8	
1690	3.14958E-8	
1700	3.13269E-8	
1710	3.11601E-8	
1720	3.09954E-8	
1730	3.08328E-8	
1740	3.06721E-8	
1750	3.05134E-8	
1760	3.03567E-8	
1770	3.02019E-8	
1780	3.00489E-8	
1790	2.98978E-8	
1800	2.97485E-8	
1810	2.9601E-8	
1820	2.94552E-8	
1830	2.93112E-8	
1840	2.91689E-8	
1850	2.90282E-8	
1860	2.88892E-8	
1870	2.87517E-8	
1880	2.86159E-8	
1890	2.84816E-8	
1900	2.83489E-8	
1910	2.82177E-8	
1920	2.8088E-8	
1930	2.79597E-8	
1940	2.78329E-8	
1950	2.77075E-8	
1960	2.75836E-8	
1970	2.7461E-8	
1980	2.73397E-8	
1990	2.72198E-8	
2000	2.71012E-8	
2010	2.69839E-8	
2020	2.68679E-8	
2030	2.67532E-8	
2040	2.66397E-8	
2050	2.65274E-8	
2060	2.64163E-8	
2070	2.63064E-8	
2080	2.61977E-8	
2090	2.60901E-8	
2100	2.59837E-8	
2110	2.58784E-8	
2120	2.57742E-8	
2130	2.56711E-8	
2140	2.55691E-8	
2150	2.54681E-8	
2160	2.53682E-8	
2170	2.52694E-8	
2180	2.51715E-8	
2190	2.50746E-8	
2200	2.49788E-8	
2210	2.48839E-8	
