Frequency [Hz] - Voltage_0 (FFT - (Peak))	Peak Magnitude [V] - Voltage_0 (FFT - (Peak))	
0	0.000366884	
10	3.46139E-6	
20	6.18222E-6	
30	3.47989E-6	
40	1.36512E-5	
50	5.14372E-6	
60	3.37941E-6	
70	1.02562E-5	
80	9.34617E-6	
90	5.86686E-6	
100	6.30161E-6	
110	2.5801E-6	
120	1.01533E-6	
130	1.56878E-6	
140	1.56402E-6	
150	1.89978E-6	
160	1.63227E-6	
170	1.53349E-6	
180	1.49105E-6	
190	1.4074E-6	
200	1.33554E-6	
210	1.25496E-6	
220	1.201E-6	
230	1.14121E-6	
240	1.08867E-6	
250	1.04207E-6	
260	1.00056E-6	
270	9.6097E-7	
280	9.25315E-7	
290	8.91418E-7	
300	8.60516E-7	
310	8.31283E-7	
320	8.04271E-7	
330	7.78809E-7	
340	7.55067E-7	
350	7.3272E-7	
360	7.11691E-7	
370	6.91857E-7	
380	6.73141E-7	
390	6.55401E-7	
400	6.386E-7	
410	6.22664E-7	
420	6.07509E-7	
430	5.93102E-7	
440	5.79364E-7	
450	5.66259E-7	
460	5.53749E-7	
470	5.41794E-7	
480	5.3035E-7	
490	5.19393E-7	
500	5.08883E-7	
510	4.98801E-7	
520	4.89119E-7	
530	4.79814E-7	
540	4.70862E-7	
550	4.62247E-7	
560	4.53947E-7	
570	4.45947E-7	
580	4.3823E-7	
590	4.30781E-7	
600	4.23587E-7	
610	4.16636E-7	
620	4.09914E-7	
630	4.03411E-7	
640	3.97116E-7	
650	3.91019E-7	
660	3.85111E-7	
670	3.79384E-7	
680	3.73829E-7	
690	3.68439E-7	
700	3.63207E-7	
710	3.58125E-7	
720	3.53188E-7	
730	3.48389E-7	
740	3.43722E-7	
750	3.39183E-7	
760	3.34766E-7	
770	3.30466E-7	
780	3.26279E-7	
790	3.222E-7	
800	3.18226E-7	
810	3.14351E-7	
820	3.10574E-7	
830	3.06889E-7	
840	3.03294E-7	
850	2.99786E-7	
860	2.96361E-7	
870	2.93016E-7	
880	2.89749E-7	
890	2.86557E-7	
900	2.83438E-7	
910	2.80389E-7	
920	2.77408E-7	
930	2.74492E-7	
940	2.7164E-7	
950	2.68849E-7	
960	2.66118E-7	
970	2.63444E-7	
980	2.60827E-7	
990	2.58263E-7	
1000	2.55752E-7	
1010	2.53292E-7	
1020	2.50882E-7	
1030	2.48519E-7	
1040	2.46203E-7	
1050	2.43933E-7	
1060	2.41706E-7	
1070	2.39522E-7	
1080	2.3738E-7	
1090	2.35277E-7	
1100	2.33215E-7	
1110	2.3119E-7	
1120	2.29203E-7	
1130	2.27251E-7	
1140	2.25335E-7	
1150	2.23454E-7	
1160	2.21605E-7	
1170	2.19789E-7	
1180	2.18005E-7	
1190	2.16252E-7	
1200	2.14529E-7	
1210	2.12835E-7	
1220	2.1117E-7	
1230	2.09533E-7	
1240	2.07923E-7	
1250	2.0634E-7	
1260	2.04783E-7	
1270	2.03251E-7	
1280	2.01744E-7	
1290	2.00261E-7	
1300	1.98802E-7	
1310	1.97366E-7	
1320	1.95952E-7	
1330	1.94561E-7	
1340	1.93191E-7	
1350	1.91842E-7	
1360	1.90513E-7	
1370	1.89205E-7	
1380	1.87917E-7	
1390	1.86647E-7	
1400	1.85397E-7	
1410	1.84165E-7	
1420	1.82951E-7	
1430	1.81755E-7	
1440	1.80577E-7	
1450	1.79415E-7	
1460	1.7827E-7	
1470	1.77141E-7	
1480	1.76028E-7	
1490	1.74931E-7	
1500	1.73849E-7	
1510	1.72782E-7	
1520	1.7173E-7	
1530	1.70692E-7	
1540	1.69668E-7	
1550	1.68658E-7	
1560	1.67662E-7	
1570	1.6668E-7	
1580	1.6571E-7	
1590	1.64753E-7	
1600	1.63809E-7	
1610	1.62877E-7	
1620	1.61957E-7	
1630	1.61049E-7	
1640	1.60153E-7	
1650	1.59269E-7	
1660	1.58395E-7	
1670	1.57533E-7	
1680	1.56682E-7	
1690	1.55841E-7	
1700	1.55011E-7	
1710	1.54191E-7	
1720	1.53381E-7	
1730	1.52582E-7	
1740	1.51792E-7	
1750	1.51011E-7	
1760	1.50241E-7	
1770	1.49479E-7	
1780	1.48727E-7	
1790	1.47983E-7	
1800	1.47249E-7	
1810	1.46523E-7	
1820	1.45806E-7	
