Frequency [Hz] - Voltage_0 (Power Spectrum)	Peak Magnitude [V] - Voltage_0 (Power Spectrum)	
0	5.06253E-8	
10	1.84721E-11	
20	3.83714E-11	
30	1.11725E-10	
40	4.22389E-11	
50	1.24148E-10	
60	4.94775E-11	
70	8.34906E-11	
80	4.91677E-11	
90	1.33802E-10	
100	1.27374E-10	
110	2.62702E-10	
120	2.98039E-11	
130	1.76008E-10	
140	8.8636E-12	
150	1.03429E-10	
160	6.93283E-11	
170	5.063E-11	
180	2.1595E-11	
190	5.92711E-12	
200	8.64403E-11	
210	6.51415E-12	
220	1.63877E-10	
230	2.10967E-10	
240	4.82777E-11	
250	8.07472E-11	
260	3.58761E-11	
270	3.51086E-11	
280	9.4568E-12	
290	4.7116E-12	
300	1.39242E-10	
310	6.24537E-11	
320	5.96407E-12	
330	1.7288E-12	
340	3.10618E-11	
350	4.01478E-11	
360	1.43827E-10	
370	1.08523E-10	
380	2.09524E-11	
390	3.38038E-11	
400	5.34244E-12	
410	1.70773E-11	
420	3.31232E-11	
430	1.57226E-10	
440	2.2658E-10	
450	9.40819E-11	
460	1.23906E-10	
470	8.88916E-12	
480	1.18289E-10	
490	6.87412E-12	
500	3.47055E-11	
510	1.5097E-10	
520	3.00118E-11	
530	1.38792E-10	
540	9.77983E-11	
550	5.67921E-11	
560	1.8116E-10	
570	5.41506E-11	
580	3.89539E-11	
590	4.19088E-11	
600	1.06306E-10	
610	1.99099E-11	
620	6.97617E-11	
630	5.25893E-11	
640	4.99956E-11	
650	7.46845E-13	
660	8.79631E-11	
670	7.11796E-11	
680	6.53082E-12	
690	1.63403E-11	
700	1.03224E-10	
710	1.07092E-10	
720	2.97481E-10	
730	8.13919E-11	
740	8.34905E-12	
750	5.85715E-11	
760	8.87372E-13	
770	7.0089E-11	
780	9.76142E-11	
790	1.05583E-10	
800	6.20486E-11	
810	2.53572E-11	
820	4.92441E-11	
830	3.22495E-11	
840	3.18223E-12	
850	1.10583E-11	
860	2.90044E-11	
870	1.83128E-10	
880	6.75055E-11	
890	1.30246E-10	
900	4.61511E-11	
910	2.9431E-10	
920	1.3382E-10	
930	4.55231E-13	
940	1.0939E-10	
950	4.94259E-11	
960	6.76559E-11	
970	5.99478E-13	
