Frequency [Hz] - Voltage_0 (Power Spectrum)	Peak Magnitude [V] - Voltage_0 (Power Spectrum)	
0	6.60957E-8	
10	1.72368E-12	
20	3.20514E-12	
30	3.16999E-11	
40	5.52552E-11	
50	1.33424E-11	
60	1.87743E-11	
70	1.18255E-10	
80	1.12163E-10	
90	2.98313E-11	
100	1.21385E-10	
110	3.93914E-11	
120	1.03564E-10	
130	5.1777E-11	
140	6.18093E-11	
150	1.18034E-10	
160	2.31595E-11	
170	1.15425E-10	
180	6.5921E-11	
190	1.71812E-11	
200	8.59251E-11	
210	3.32768E-11	
220	9.67663E-11	
230	5.89349E-11	
240	5.21105E-11	
250	1.06871E-10	
260	1.32246E-11	
270	5.47071E-11	
280	3.35833E-11	
290	6.17113E-11	
300	1.2262E-10	
310	1.73628E-12	
320	3.75948E-11	
330	4.94086E-11	
340	5.04204E-12	
350	4.7872E-12	
360	5.67539E-11	
370	1.47147E-10	
380	1.43003E-10	
390	1.29214E-10	
400	2.42161E-11	
410	7.54354E-11	
420	1.48861E-10	
430	1.22087E-10	
440	2.03769E-11	
450	5.55662E-11	
460	7.09956E-11	
470	3.55957E-11	
480	1.65324E-11	
490	1.71499E-10	
500	6.31035E-11	
510	2.88707E-11	
520	3.44033E-12	
530	7.82436E-11	
540	1.4526E-10	
550	6.10544E-11	
560	9.50453E-13	
570	4.57203E-11	
580	8.62154E-11	
590	4.19058E-11	
600	2.81376E-10	
610	1.78073E-10	
620	1.76085E-11	
630	1.37228E-11	
640	8.02333E-11	
650	5.78014E-11	
660	2.98313E-11	
670	1.88761E-11	
680	1.0075E-11	
690	1.42258E-10	
700	9.34094E-11	
710	1.00779E-10	
720	3.49128E-11	
730	4.39106E-11	
740	2.92178E-11	
750	1.58872E-10	
760	9.3585E-11	
770	1.23466E-11	
780	1.2432E-12	
790	8.84696E-12	
800	2.07447E-10	
810	2.46575E-10	
820	7.48834E-11	
830	3.43394E-11	
840	1.15182E-10	
850	9.1887E-11	
860	2.00723E-11	
870	2.33072E-11	
880	7.42276E-11	
890	4.26102E-11	
900	1.61421E-10	
910	5.09733E-13	
920	3.87725E-12	
930	2.75559E-11	
