Frequency [Hz] - Voltage (FFT - (Peak))	Peak Magnitude [V] - Voltage (FFT - (Peak))	
0	0.00163915	
10	0.00462257	
20	0.00758656	
30	0.0112648	
40	0.0117553	
50	0.0151273	
60	0.0104356	
70	0.0219995	
80	0.0214019	
90	0.0982332	
100	0.0144609	
110	0.0101647	
120	0.00601866	
130	0.00206958	
140	0.000838871	
150	0.00120287	
160	0.00111359	
170	0.000865773	
180	0.000768248	
190	0.000671122	
200	0.000605702	
210	0.000560691	
220	0.000508464	
230	0.000467272	
240	0.000436157	
250	0.000407119	
260	0.000382736	
270	0.000360744	
280	0.000339493	
290	0.000322388	
300	0.000261606	
310	0.000295006	
320	0.000281643	
330	0.000269739	
340	0.000258961	
350	0.000248998	
360	0.000239909	
370	0.000231508	
380	0.000223655	
390	0.000216365	
400	0.000209577	
410	0.000203216	
420	0.000197254	
430	0.000191649	
440	0.000186368	
450	0.000181394	
460	0.000176694	
470	0.000172236	
480	0.000168014	
490	0.00016401	
500	0.000160199	
510	0.000156567	
520	0.000153111	
530	0.000149811	
540	0.000146656	
550	0.000143639	
560	0.000140751	
570	0.000137983	
580	0.000135327	
590	0.000132777	
600	0.000130326	
610	0.00012797	
620	0.000125701	
630	0.000123515	
640	0.000121408	
650	0.000119376	
660	0.000117414	
670	0.000115519	
680	0.000113688	
690	0.000111916	
700	0.000110203	
710	0.000108543	
720	0.000106935	
730	0.000105377	
740	0.000103866	
750	0.0001024	
760	0.000100977	
770	9.95956E-5	
780	9.82532E-5	
790	9.69485E-5	
800	9.56799E-5	
810	9.4446E-5	
820	9.32452E-5	
830	9.20763E-5	
840	9.09381E-5	
850	8.98292E-5	
860	8.87486E-5	
870	8.76952E-5	
880	8.6668E-5	
890	8.5666E-5	
900	8.46881E-5	
910	8.37341E-5	
920	8.28024E-5	
930	8.18925E-5	
940	8.10036E-5	
950	8.0135E-5	
960	7.9286E-5	
970	7.8456E-5	
980	7.76443E-5	
990	7.68504E-5	
1000	7.60736E-5	
1010	7.53134E-5	
1020	7.45693E-5	
1030	7.38408E-5	
1040	7.31273E-5	
1050	7.24285E-5	
1060	7.17439E-5	
1070	7.10731E-5	
1080	7.04156E-5	
1090	6.9771E-5	
1100	6.91391E-5	
1110	6.85193E-5	
1120	6.79115E-5	
1130	6.73152E-5	
1140	6.67301E-5	
1150	6.61559E-5	
1160	6.55923E-5	
1170	6.5039E-5	
1180	6.44958E-5	
1190	6.39623E-5	
1200	6.34384E-5	
1210	6.29237E-5	
1220	6.24181E-5	
1230	6.19212E-5	
1240	6.1433E-5	
1250	6.0953E-5	
1260	6.04813E-5	
1270	6.00174E-5	
1280	5.95614E-5	
1290	5.91128E-5	
1300	5.86717E-5	
1310	5.82378E-5	
1320	5.78108E-5	
1330	5.73908E-5	
1340	5.69775E-5	
1350	5.65707E-5	
1360	5.61703E-5	
1370	5.57761E-5	
1380	5.53881E-5	
1390	5.5006E-5	
1400	5.46298E-5	
1410	5.42593E-5	
1420	5.38944E-5	
1430	5.35349E-5	
1440	5.31808E-5	
1450	5.28319E-5	
1460	5.24881E-5	
1470	5.21494E-5	
1480	5.18155E-5	
1490	5.14865E-5	
1500	5.11622E-5	
1510	5.08424E-5	
1520	5.05272E-5	
1530	5.02164E-5	
1540	4.991E-5	
1550	4.96078E-5	
1560	4.93097E-5	
1570	4.90158E-5	
1580	4.87258E-5	
1590	4.84398E-5	
1600	4.81576E-5	
1610	4.78792E-5	
1620	4.76045E-5	
1630	4.73334E-5	
1640	4.70659E-5	
1650	4.68019E-5	
1660	4.65413E-5	
1670	4.62841E-5	
1680	4.60302E-5	
1690	4.57795E-5	
1700	4.55321E-5	
1710	4.52878E-5	
1720	4.50465E-5	
1730	4.48083E-5	
1740	4.4573E-5	
1750	4.43407E-5	
1760	4.41112E-5	
1770	4.38846E-5	
1780	4.36607E-5	
1790	4.34395E-5	
1800	4.3221E-5	
1810	4.30052E-5	
1820	4.27919E-5	
1830	4.25812E-5	
1840	4.2373E-5	
1850	4.21672E-5	
1860	4.19639E-5	
1870	4.17629E-5	
1880	4.15643E-5	
1890	4.1368E-5	
1900	4.11739E-5	
1910	4.09821E-5	
1920	4.07925E-5	
1930	4.06051E-5	
1940	4.04197E-5	
1950	4.02365E-5	
1960	4.00553E-5	
1970	3.98762E-5	
1980	3.9699E-5	
1990	3.95239E-5	
2000	3.93506E-5	
2010	3.91793E-5	
2020	3.90099E-5	
2030	3.88423E-5	
2040	3.86766E-5	
2050	3.85126E-5	
2060	3.83504E-5	
2070	3.819E-5	
2080	3.80313E-5	
2090	3.78742E-5	
2100	3.77189E-5	
2110	3.75652E-5	
2120	3.74131E-5	
2130	3.72627E-5	
2140	3.71138E-5	
2150	3.69665E-5	
2160	3.68207E-5	
2170	3.66764E-5	
2180	3.65336E-5	
2190	3.63923E-5	
2200	3.62525E-5	
2210	3.61141E-5	
2220	3.59771E-5	
2230	3.58415E-5	
2240	3.57072E-5	
2250	3.55744E-5	
2260	3.54429E-5	
2270	3.53127E-5	
2280	3.51838E-5	
2290	3.50562E-5	
2300	3.49299E-5	
2310	3.48048E-5	
2320	3.4681E-5	
2330	3.45584E-5	
2340	3.4437E-5	
2350	3.43168E-5	
2360	3.41977E-5	
2370	3.40799E-5	
2380	3.39632E-5	
2390	3.38476E-5	
2400	3.37332E-5	
2410	3.36198E-5	
2420	3.35076E-5	
2430	3.33964E-5	
2440	3.32863E-5	
2450	3.31773E-5	
2460	3.30693E-5	
2470	3.29624E-5	
2480	3.28564E-5	
2490	3.27515E-5	
2500	3.26475E-5	
2510	3.25446E-5	
2520	3.24426E-5	
2530	3.23416E-5	
2540	3.22415E-5	
2550	3.21424E-5	
2560	3.20441E-5	
2570	3.19469E-5	
2580	3.18505E-5	
2590	3.1755E-5	
2600	3.16604E-5	
2610	3.15667E-5	
2620	3.14738E-5	
2630	3.13818E-5	
2640	3.12907E-5	
2650	3.12004E-5	
2660	3.11109E-5	
2670	3.10222E-5	
2680	3.09344E-5	
2690	3.08473E-5	
2700	3.07611E-5	
2710	3.06756E-5	
2720	3.0591E-5	
2730	3.0507E-5	
2740	3.04239E-5	
2750	3.03415E-5	
2760	3.02599E-5	
2770	3.0179E-5	
2780	3.00988E-5	
2790	3.00193E-5	
2800	2.99406E-5	
2810	2.98626E-5	
2820	2.97852E-5	
2830	2.97086E-5	
2840	2.96327E-5	
2850	2.95574E-5	
2860	2.94828E-5	
2870	2.94089E-5	
2880	2.93357E-5	
2890	2.92631E-5	
2900	2.91911E-5	
2910	2.91198E-5	
2920	2.90492E-5	
2930	2.89791E-5	
2940	2.89097E-5	
2950	2.88409E-5	
2960	2.87727E-5	
2970	2.87052E-5	
2980	2.86382E-5	
2990	2.85718E-5	
3000	2.8506E-5	
3010	2.84408E-5	
3020	2.83762E-5	
3030	2.83122E-5	
3040	2.82487E-5	
3050	2.81858E-5	
3060	2.81234E-5	
3070	2.80616E-5	
3080	2.80004E-5	
3090	2.79396E-5	
3100	2.78795E-5	
3110	2.78199E-5	
3120	2.77608E-5	
3130	2.77022E-5	
3140	2.76441E-5	
3150	2.75866E-5	
3160	2.75296E-5	
3170	2.7473E-5	
3180	2.7417E-5	
3190	2.73615E-5	
3200	2.73065E-5	
3210	2.7252E-5	
3220	2.71979E-5	
3230	2.71444E-5	
3240	2.70913E-5	
3250	2.70387E-5	
3260	2.69866E-5	
3270	2.69349E-5	
3280	2.68837E-5	
3290	2.6833E-5	
3300	2.67827E-5	
3310	2.67329E-5	
3320	2.66835E-5	
3330	2.66346E-5	
3340	2.65861E-5	
3350	2.65381E-5	
3360	2.64905E-5	
3370	2.64433E-5	
3380	2.63965E-5	
3390	2.63502E-5	
3400	2.63043E-5	
3410	2.62589E-5	
3420	2.62138E-5	
3430	2.61691E-5	
3440	2.61249E-5	
3450	2.60811E-5	
3460	2.60377E-5	
3470	2.59947E-5	
3480	2.5952E-5	
3490	2.59098E-5	
3500	2.5868E-5	
3510	2.58265E-5	
3520	2.57855E-5	
3530	2.57448E-5	
3540	2.57046E-5	
