Frequency [Hz] - Voltage_0 (FFT - (Peak))	Peak Magnitude [V] - Voltage_0 (FFT - (Peak))	
0	0.00024576	
10	0.000254516	
20	0.00011774	
30	0.00065562	
40	0.000381356	
50	0.000376152	
60	0.000234092	
70	0.000107275	
80	0.000219557	
90	0.000349191	
100	0.000142579	
110	0.000440716	
120	0.000680548	
130	0.000175652	
140	8.10728E-5	
150	5.54493E-5	
160	4.35829E-5	
170	3.53313E-5	
180	2.75382E-5	
190	2.32809E-5	
200	2.03623E-5	
210	1.80137E-5	
220	1.59254E-5	
230	1.43104E-5	
240	1.29781E-5	
250	1.18874E-5	
260	1.09585E-5	
270	1.01668E-5	
280	9.47596E-6	
290	8.8708E-6	
300	8.33681E-6	
310	7.86228E-6	
320	7.43731E-6	
330	7.0583E-6	
340	6.71461E-6	
350	6.40274E-6	
360	6.12057E-6	
370	5.86092E-6	
380	5.62331E-6	
390	5.40473E-6	
400	5.20266E-6	
410	5.01545E-6	
420	4.84179E-6	
430	4.68003E-6	
440	4.52913E-6	
450	4.38796E-6	
460	4.2556E-6	
470	4.13144E-6	
480	4.0145E-6	
490	3.90429E-6	
500	3.80023E-6	
510	3.70183E-6	
520	3.60864E-6	
530	3.52025E-6	
540	3.43629E-6	
550	3.35644E-6	
560	3.28041E-6	
570	3.20793E-6	
580	3.13876E-6	
590	3.07266E-6	
600	3.00945E-6	
610	2.94893E-6	
620	2.89093E-6	
630	2.83529E-6	
640	2.78188E-6	
650	2.73057E-6	
660	2.68122E-6	
670	2.63374E-6	
680	2.588E-6	
690	2.54393E-6	
700	2.50142E-6	
710	2.46039E-6	
720	2.42078E-6	
730	2.3825E-6	
740	2.34549E-6	
750	2.30968E-6	
760	2.27502E-6	
770	2.24145E-6	
780	2.20892E-6	
790	2.17739E-6	
800	2.1468E-6	
810	2.11712E-6	
820	2.0883E-6	
830	2.06031E-6	
840	2.03311E-6	
850	2.00667E-6	
860	1.98095E-6	
870	1.95593E-6	
880	1.93158E-6	
890	1.90787E-6	
900	1.88478E-6	
910	1.86228E-6	
920	1.84035E-6	
930	1.81897E-6	
940	1.79812E-6	
950	1.77777E-6	
960	1.75792E-6	
970	1.73853E-6	
980	1.7196E-6	
990	1.70111E-6	
1000	1.68305E-6	
1010	1.6654E-6	
1020	1.64814E-6	
1030	1.63126E-6	
1040	1.61475E-6	
1050	1.59861E-6	
1060	1.5828E-6	
1070	1.56734E-6	
1080	1.5522E-6	
1090	1.53737E-6	
1100	1.52285E-6	
1110	1.50862E-6	
1120	1.49468E-6	
1130	1.48102E-6	
1140	1.46763E-6	
1150	1.4545E-6	
1160	1.44162E-6	
1170	1.42899E-6	
1180	1.4166E-6	
1190	1.40445E-6	
1200	1.39252E-6	
1210	1.38081E-6	
1220	1.36932E-6	
1230	1.35803E-6	
1240	1.34695E-6	
1250	1.33607E-6	
1260	1.32538E-6	
1270	1.31488E-6	
1280	1.30455E-6	
1290	1.29441E-6	
1300	1.28444E-6	
1310	1.27464E-6	
1320	1.26501E-6	
1330	1.25553E-6	
1340	1.24622E-6	
1350	1.23705E-6	
1360	1.22804E-6	
1370	1.21917E-6	
1380	1.21044E-6	
1390	1.20186E-6	
1400	1.1934E-6	
1410	1.18509E-6	
1420	1.1769E-6	
1430	1.16883E-6	
1440	1.1609E-6	
1450	1.15308E-6	
1460	1.14538E-6	
1470	1.1378E-6	
1480	1.13033E-6	
1490	1.12297E-6	
1500	1.11572E-6	
1510	1.10857E-6	
1520	1.10153E-6	
1530	1.0946E-6	
1540	1.08776E-6	
1550	1.08102E-6	
1560	1.07437E-6	
1570	1.06782E-6	
1580	1.06136E-6	
1590	1.05499E-6	
1600	1.0487E-6	
1610	1.04251E-6	
1620	1.0364E-6	
1630	1.03037E-6	
1640	1.02442E-6	
1650	1.01855E-6	
1660	1.01276E-6	
1670	1.00705E-6	
1680	1.00141E-6	
1690	9.95849E-7	
1700	9.90359E-7	
1710	9.84939E-7	
1720	9.79589E-7	
1730	9.74308E-7	
1740	9.69094E-7	
1750	9.63947E-7	
1760	9.58864E-7	
1770	9.53845E-7	
1780	9.48889E-7	
1790	9.43994E-7	
1800	9.3916E-7	
1810	9.34386E-7	
1820	9.29669E-7	
1830	9.25011E-7	
1840	9.20408E-7	
1850	9.15861E-7	
1860	9.11369E-7	
1870	9.0693E-7	
1880	9.02545E-7	
1890	8.98211E-7	
1900	8.93928E-7	
1910	8.89695E-7	
1920	8.85511E-7	
1930	8.81377E-7	
1940	8.77289E-7	
1950	8.7325E-7	
1960	8.69256E-7	
1970	8.65308E-7	
1980	8.61404E-7	
1990	8.57545E-7	
2000	8.5373E-7	
2010	8.49957E-7	
2020	8.46226E-7	
2030	8.42537E-7	
2040	8.38889E-7	
2050	8.35281E-7	
2060	8.31712E-7	
2070	8.28183E-7	
2080	8.24692E-7	
2090	8.21239E-7	
2100	8.17824E-7	
2110	8.14445E-7	
2120	8.11103E-7	
2130	8.07796E-7	
2140	8.04525E-7	
2150	8.01288E-7	
2160	7.98086E-7	
2170	7.94917E-7	
2180	7.91782E-7	
2190	7.8868E-7	
2200	7.8561E-7	
2210	7.82572E-7	
2220	7.79565E-7	
2230	7.7659E-7	
2240	7.73645E-7	
2250	7.7073E-7	
2260	7.67845E-7	
2270	7.6499E-7	
2280	7.62163E-7	
2290	7.59366E-7	
2300	7.56596E-7	
2310	7.53855E-7	
2320	7.51141E-7	
2330	7.48454E-7	
2340	7.45794E-7	
2350	7.43161E-7	
2360	7.40553E-7	
2370	7.37972E-7	
2380	7.35416E-7	
2390	7.32885E-7	
2400	7.30379E-7	
2410	7.27897E-7	
2420	7.2544E-7	
2430	7.23007E-7	
2440	7.20597E-7	
2450	7.18211E-7	
2460	7.15848E-7	
2470	7.13508E-7	
2480	7.1119E-7	
2490	7.08894E-7	
2500	7.06621E-7	
2510	7.04369E-7	
2520	7.02138E-7	
2530	6.99929E-7	
2540	6.97741E-7	
2550	6.95573E-7	
2560	6.93426E-7	
2570	6.913E-7	
2580	6.89193E-7	
2590	6.87106E-7	
2600	6.85039E-7	
2610	6.82991E-7	
2620	6.80962E-7	
2630	6.78952E-7	
2640	6.76961E-7	
2650	6.74988E-7	
2660	6.73033E-7	
2670	6.71097E-7	
2680	6.69179E-7	
2690	6.67278E-7	
2700	6.65395E-7	
2710	6.63529E-7	
2720	6.6168E-7	
2730	6.59848E-7	
2740	6.58033E-7	
2750	6.56235E-7	
2760	6.54453E-7	
2770	6.52687E-7	
2780	6.50937E-7	
2790	6.49204E-7	
2800	6.47486E-7	
2810	6.45783E-7	
2820	6.44097E-7	
2830	6.42425E-7	
2840	6.40768E-7	
2850	6.39127E-7	
2860	6.375E-7	
2870	6.35888E-7	
2880	6.34291E-7	
2890	6.32707E-7	
2900	6.31139E-7	
2910	6.29584E-7	
2920	6.28043E-7	
2930	6.26516E-7	
2940	6.25003E-7	
2950	6.23503E-7	
2960	6.22017E-7	
2970	6.20544E-7	
2980	6.19084E-7	
2990	6.17638E-7	
3000	6.16204E-7	
3010	6.14783E-7	
3020	6.13375E-7	
3030	6.1198E-7	
3040	6.10597E-7	
3050	6.09226E-7	
3060	6.07867E-7	
3070	6.06521E-7	
3080	6.05187E-7	
3090	6.03865E-7	
3100	6.02554E-7	
3110	6.01255E-7	
3120	5.99968E-7	
3130	5.98692E-7	
3140	5.97428E-7	
3150	5.96175E-7	
3160	5.94934E-7	
3170	5.93703E-7	
3180	5.92483E-7	
3190	5.91275E-7	
3200	5.90077E-7	
3210	5.8889E-7	
3220	5.87714E-7	
3230	5.86548E-7	
3240	5.85393E-7	
3250	5.84248E-7	
3260	5.83113E-7	
3270	5.81989E-7	
3280	5.80875E-7	
3290	5.7977E-7	
3300	5.78676E-7	
3310	5.77592E-7	
3320	5.76518E-7	
3330	5.75453E-7	
3340	5.74398E-7	
3350	5.73353E-7	
3360	5.72317E-7	
3370	5.71291E-7	
3380	5.70274E-7	
3390	5.69266E-7	
3400	5.68267E-7	
3410	5.67278E-7	
3420	5.66298E-7	
3430	5.65327E-7	
3440	5.64365E-7	
3450	5.63412E-7	
3460	5.62467E-7	
3470	5.61532E-7	
3480	5.60605E-7	
3490	5.59687E-7	
3500	5.58777E-7	
3510	5.57876E-7	
3520	5.56983E-7	
3530	5.56099E-7	
3540	5.55223E-7	
3550	5.54356E-7	
3560	5.53497E-7	
3570	5.52645E-7	
