Frequency [Hz] - Voltage (FFT - (Peak))	Peak Magnitude [V] - Voltage (FFT - (Peak))	
0	0.0497957	
10	0.118294	
20	0.101547	
30	0.119374	
40	0.137146	
50	0.157551	
60	0.230679	
70	0.418611	
80	3.4319	
90	0.546743	
100	0.259127	
110	0.16942	
120	0.142236	
130	0.116424	
140	0.0982621	
150	0.107636	
160	0.076119	
170	0.101272	
180	0.0780175	
190	0.0942311	
200	0.101682	
210	0.112139	
220	0.161768	
230	0.262557	
240	0.882277	
250	0.610994	
260	0.228212	
270	0.139251	
280	0.112651	
290	0.0842935	
300	0.069161	
310	0.0729298	
320	0.0443093	
330	0.064745	
340	0.039567	
350	0.0539139	
360	0.0516801	
370	0.0537049	
380	0.0819223	
390	0.119435	
400	0.281317	
410	0.592126	
420	0.138293	
430	0.0754123	
440	0.0588013	
450	0.0344773	
460	0.0271052	
470	0.028293	
480	0.0208551	
490	0.0247064	
500	0.0178286	
510	0.0162847	
520	0.00820653	
530	0.00451576	
540	0.0183414	
550	0.0225835	
560	0.029181	
570	0.496209	
580	0.0115727	
590	0.0144472	
600	0.00469915	
610	0.0136722	
620	0.0150791	
630	0.0113895	
640	0.0360238	
650	0.00456766	
660	0.0342948	
670	0.00944721	
680	0.0218446	
690	0.0216832	
700	0.0168547	
710	0.0358908	
720	0.0614898	
730	0.351348	
740	0.118101	
750	0.0596485	
760	0.0378967	
770	0.0423074	
780	0.0325757	
790	0.0280101	
800	0.0418114	
810	0.0157606	
820	0.0376829	
830	0.0132185	
840	0.0269989	
850	0.0230481	
860	0.0204534	
870	0.0405018	
880	0.0645797	
890	0.197268	
900	0.21323	
910	0.0752118	
920	0.045382	
930	0.0432188	
940	0.0271004	
950	0.0237318	
960	0.028844	
970	0.0195879	
980	0.025624	
990	0.013694	
1000	0.0179502	
1010	0.00931407	
1020	0.00720759	
1030	0.0227868	
1040	0.0334894	
1050	0.0703687	
1060	0.251168	
1070	0.0447918	
1080	0.0252417	
1090	0.0217826	
1100	0.00490467	
1110	0.00994558	
1120	0.00746246	
1130	0.0294385	
1140	0.00847614	
1150	0.0240691	
1160	0.00674716	
1170	0.00940047	
1180	0.00853411	
1190	0.00610371	
1200	0.0159601	
1210	0.00933471	
1220	0.229877	
1230	0.0200645	
1240	0.0204708	
1250	0.00878403	
1260	0.0200359	
1270	0.0174734	
1280	0.0151228	
1290	0.0368532	
1300	0.00743436	
1310	0.0304264	
1320	0.00478355	
1330	0.0182836	
1340	0.0144317	
1350	0.00972485	
1360	0.0242165	
1370	0.038084	
1380	0.166549	
1390	0.0924423	
1400	0.0444624	
1410	0.0274356	
1420	0.0330344	
1430	0.0226246	
1440	0.0214232	
1450	0.0320558	
1460	0.0165034	
1470	0.0264176	
1480	0.00870136	
1490	0.017575	
1500	0.00929566	
1510	0.00701481	
1520	0.0206768	
1530	0.0333027	
1540	0.0887399	
1550	0.146377	
1560	0.0456719	
1570	0.0274935	
1580	0.0281394	
1590	0.0131286	
1600	0.0150171	
1610	0.0162648	
1620	0.0265104	
1630	0.0148105	
1640	0.0178655	
1650	0.0110112	
1660	0.00364161	
1670	0.00462398	
1680	0.0100982	
1690	0.0188006	
1700	0.0232207	
1710	0.163842	
1720	0.0170006	
1730	0.0145322	
1740	0.00999697	
1750	0.00601183	
1760	0.0106394	
1770	0.00614271	
1780	0.0352881	
1790	0.00462527	
1800	0.0257487	
1810	0.00439597	
1820	0.0125441	
1830	0.0101287	
1840	0.00652677	
1850	0.0169496	
1860	0.0164542	
1870	0.143071	
1880	0.0328655	
1890	0.0240898	
1900	0.0123058	
1910	0.0228234	
1920	0.0176056	
1930	0.0173165	
1940	0.0357925	
1950	0.0119607	
1960	0.0262962	
1970	0.00347714	
1980	0.015944	
1990	0.00910717	
2000	0.00709226	
2010	0.0175446	
2020	0.0273457	
2030	0.0968056	
2040	0.0832929	
2050	0.0369482	
2060	0.0227842	
2070	0.0282293	
2080	0.0166078	
2090	0.0183269	
2100	0.0251222	
2110	0.0229989	
2120	0.0193081	
2130	0.0121911	
2140	0.0133866	
2150	0.00223939	
2160	0.00529944	
2170	0.0117509	
2180	0.022139	
2190	0.0446999	
2200	0.116054	
2210	0.0297149	
2220	0.0190856	
2230	0.019492	
2240	0.00475703	
2250	0.0117918	
2260	0.00815413	
2270	0.0337344	
2280	0.0087931	
2290	0.0209383	
2300	0.00804261	
2310	0.00762062	
2320	0.00786017	
2330	0.00666826	
2340	0.0167138	
2350	0.0057838	
2360	0.120045	
2370	0.00356644	
2380	0.013879	
2390	0.0039849	
2400	0.0123789	
2410	0.0128017	
2420	0.0109371	
2430	0.0385989	
2440	0.00705509	
2450	0.0250309	
2460	0.00173577	
2470	0.0133784	
2480	0.00879946	
2490	0.00728275	
2500	0.0159473	
2510	0.0176123	
2520	0.0972698	
2530	0.0407777	
2540	0.0257163	
2550	0.0143902	
2560	0.0241062	
2570	0.0166459	
2580	0.0184058	
2590	0.0333188	
2600	0.0181963	
2610	0.022002	
2620	0.00656414	
2630	0.0139079	
2640	0.00451676	
2650	0.00696284	
2660	0.0123551	
2670	0.021575	
2680	0.0593471	
2690	0.0775078	
2700	0.0307416	
2710	0.0195618	
2720	0.0240164	
2730	0.0113969	
2740	0.015936	
2750	0.0184252	
