Frequency [Hz] - Voltage_0 (Power Spectrum)	Peak Magnitude [V] - Voltage_0 (Power Spectrum)	
0	1.89453E-10	
10	1.2086E-8	
20	1.05158E-7	
30	4.48611E-7	
40	1.21208E-8	
50	4.67166E-9	
60	1.79334E-8	
70	1.45E-8	
80	3.54528E-10	
90	2.64497E-8	
100	4.64576E-8	
110	1.43594E-8	
120	1.493E-9	
130	7.48706E-9	
140	7.72353E-9	
150	3.63298E-9	
160	4.62053E-10	
170	1.73512E-9	
180	1.5873E-8	
190	1.25564E-8	
200	1.59836E-9	
210	3.36591E-10	
220	7.98421E-9	
230	5.98502E-9	
240	1.73947E-8	
250	2.41261E-9	
260	8.05282E-9	
270	7.09755E-10	
280	1.64936E-8	
290	1.79234E-9	
300	3.33897E-8	
310	8.0213E-9	
320	4.87516E-9	
330	1.34057E-9	
340	3.41672E-9	
350	7.88375E-9	
360	3.42534E-9	
370	1.93025E-9	
380	6.04537E-10	
390	3.61013E-9	
400	4.72616E-9	
410	1.31728E-10	
420	6.60856E-9	
430	1.45782E-8	
440	2.20809E-8	
450	8.92802E-9	
460	2.15951E-8	
470	8.01727E-9	
480	4.97718E-9	
490	3.84859E-11	
500	1.45722E-8	
510	1.39409E-9	
520	2.27559E-10	
530	4.50916E-10	
540	2.75108E-9	
550	7.57293E-9	
560	9.23516E-11	
570	3.37899E-10	
580	1.05021E-9	
590	2.72412E-9	
600	9.25588E-9	
610	2.29829E-9	
620	5.76703E-9	
630	2.97775E-9	
640	2.20674E-10	
650	9.00015E-9	
660	5.13039E-9	
670	1.70245E-9	
680	5.4295E-10	
690	5.54648E-9	
700	3.03629E-8	
710	6.11134E-9	
720	1.00324E-9	
730	1.00933E-8	
740	1.27562E-9	
750	7.25568E-9	
760	6.82514E-9	
770	1.93541E-9	
780	3.42061E-10	
790	1.23092E-9	
800	9.76493E-9	
810	1.54774E-9	
820	3.58194E-9	
830	4.52462E-9	
840	3.47654E-9	
850	1.68623E-8	
860	5.12533E-9	
870	9.60592E-9	
880	1.53035E-9	
890	2.85692E-9	
900	5.90563E-8	
910	9.71632E-10	
920	1.80399E-9	
930	2.61436E-9	
940	1.24972E-10	
950	1.48827E-8	
960	2.29609E-9	
970	1.97779E-8	
980	1.37548E-9	
990	2.24966E-9	
1000	3.26313E-8	
1010	1.10728E-8	
1020	4.78507E-9	
1030	1.74821E-9	
1040	4.18438E-9	
1050	3.07643E-9	
1060	1.22933E-8	
1070	6.39682E-9	
1080	4.40153E-12	
1090	1.31463E-9	
1100	3.10776E-8	
1110	1.21922E-8	
1120	2.9212E-9	
1130	1.12143E-9	
1140	4.24597E-9	
1150	5.64488E-10	
1160	5.50095E-9	
1170	2.84301E-9	
1180	3.59176E-10	
1190	5.66243E-9	
1200	9.9394E-9	
1210	1.91886E-9	
1220	3.01869E-10	
1230	1.1458E-9	
1240	2.15575E-9	
1250	1.80045E-9	
1260	5.03208E-9	
1270	4.49483E-9	
1280	1.24663E-9	
1290	1.44812E-7	
1300	1.33246E-8	
1310	1.38295E-8	
1320	7.69649E-9	
1330	2.3031E-9	
1340	2.66291E-9	
1350	1.74891E-8	
1360	9.38876E-9	
1370	4.16177E-9	
1380	2.33995E-9	
1390	1.25616E-9	
1400	2.30514E-8	
1410	7.46296E-9	
1420	1.41554E-8	
1430	3.00589E-9	
1440	1.88537E-8	
1450	1.31278E-8	
1460	9.93434E-9	
1470	7.2412E-9	
1480	2.83713E-9	
1490	6.63376E-10	
1500	1.83002E-9	
1510	3.16147E-9	
1520	2.54496E-9	
1530	1.96786E-9	
1540	1.97941E-8	
1550	4.11515E-9	
1560	5.35529E-9	
1570	2.09048E-9	
1580	3.56032E-9	
1590	8.67452E-9	
1600	2.80349E-8	
1610	1.40778E-8	
1620	2.18811E-9	
1630	7.35013E-9	
1640	9.94853E-9	
1650	5.67564E-9	
1660	5.03598E-9	
1670	1.19255E-8	
1680	4.58775E-9	
1690	1.16387E-8	
1700	3.36202E-8	
1710	2.07337E-8	
1720	3.16075E-9	
1730	4.9502E-9	
1740	3.00451E-9	
1750	6.89432E-9	
1760	4.82683E-9	
1770	2.46083E-9	
1780	2.76151E-9	
1790	2.58051E-9	
1800	2.3994E-8	
1810	1.60029E-8	
1820	1.57704E-9	
1830	4.70749E-10	
1840	7.12281E-9	
1850	2.84349E-9	
1860	5.97532E-9	
1870	5.50446E-9	
1880	1.99702E-9	
1890	3.62686E-9	
1900	1.71172E-8	
1910	2.79367E-10	
1920	1.63601E-9	
1930	6.56547E-10	
1940	1.64887E-9	
1950	2.69372E-10	
1960	8.93185E-9	
1970	1.26347E-9	
1980	1.53302E-8	
1990	1.51329E-8	
2000	1.94163E-8	
2010	1.50719E-8	
2020	8.07151E-9	
2030	1.08332E-8	
2040	3.92562E-9	
2050	1.18571E-10	
2060	6.69573E-9	
2070	1.12077E-9	
2080	2.87671E-9	
2090	2.45354E-9	
2100	6.62326E-10	
2110	8.56458E-10	
2120	2.48455E-9	
2130	1.51178E-9	
2140	5.90707E-10	
2150	1.65892E-12	
2160	1.00648E-8	
2170	8.00372E-10	
2180	8.90587E-9	
2190	2.08927E-8	
2200	7.14557E-8	
2210	1.97603E-8	
2220	1.15538E-8	
2230	1.82942E-9	
2240	5.09399E-10	
2250	1.67988E-9	
2260	1.93564E-10	
2270	6.64685E-9	
2280	7.69E-9	
2290	2.45087E-9	
2300	8.71006E-9	
2310	1.2961E-9	
2320	1.71716E-9	
2330	6.34017E-9	
2340	4.16447E-9	
2350	2.11014E-9	
2360	7.1078E-10	
2370	2.20708E-9	
2380	1.12634E-8	
2390	1.55939E-8	
2400	7.56263E-8	
2410	3.48697E-8	
2420	3.83537E-10	
2430	1.97878E-9	
2440	2.57169E-9	
2450	2.17672E-9	
2460	2.69665E-9	
2470	4.18294E-9	
2480	1.41124E-8	
2490	2.9612E-9	
2500	2.77193E-9	
2510	5.00192E-9	
2520	7.95956E-10	
2530	4.08563E-9	
2540	6.21305E-9	
2550	1.20213E-10	
2560	1.28983E-9	
2570	1.44768E-8	
2580	1.48046E-8	
2590	1.90174E-8	
2600	6.69785E-8	
2610	4.19998E-8	
2620	1.0334E-9	
2630	7.14518E-9	
2640	5.51882E-9	
2650	7.36637E-9	
2660	1.18713E-8	
2670	4.86631E-9	
2680	1.41554E-8	
2690	1.74437E-8	
2700	3.26102E-8	
2710	3.00042E-9	
2720	1.1657E-9	
2730	2.14565E-9	
2740	5.20455E-9	
2750	5.03276E-10	
2760	4.54735E-8	
2770	1.16002E-8	
2780	7.79363E-9	
2790	1.16527E-8	
2800	4.44997E-9	
2810	3.43187E-8	
2820	2.38387E-9	
2830	1.12019E-8	
2840	1.2096E-9	
2850	2.6862E-9	
2860	1.01668E-8	
2870	8.88199E-9	
2880	3.08787E-8	
2890	7.78159E-8	
2900	8.97753E-7	
2910	3.4873E-7	
2920	2.25185E-8	
2930	1.78811E-8	
2940	2.14668E-9	
2950	6.45245E-9	
2960	8.74225E-9	
2970	6.04911E-9	
2980	2.0647E-9	
2990	4.6109E-10	
3000	4.39691E-9	
3010	9.57062E-9	
3020	4.0494E-9	
3030	1.24047E-8	
3040	9.37654E-10	
3050	5.5952E-9	
3060	2.87811E-9	
3070	3.06579E-9	
3080	1.24083E-9	
3090	3.26218E-9	
3100	9.79028E-9	
3110	9.05331E-9	
3120	3.23345E-9	
3130	7.17263E-9	
3140	3.17836E-9	
3150	1.37799E-9	
3160	2.28472E-9	
3170	2.87594E-9	
3180	7.35867E-10	
3190	9.59769E-9	
3200	2.72061E-8	
3210	3.24692E-8	
3220	7.03176E-11	
3230	5.24029E-9	
3240	2.99778E-9	
3250	1.35261E-9	
3260	1.04098E-8	
3270	1.68174E-9	
3280	5.10879E-9	
3290	7.19878E-10	
3300	2.75115E-9	
3310	1.1148E-8	
3320	2.8935E-9	
3330	2.0823E-9	
3340	4.05131E-9	
3350	1.43273E-10	
3360	5.80084E-9	
3370	7.09749E-9	
3380	1.29272E-9	
3390	2.03032E-9	
3400	3.65879E-9	
3410	1.60512E-8	
3420	7.04219E-9	
3430	8.43725E-10	
3440	5.47291E-9	
3450	2.83312E-9	
3460	6.05816E-9	
3470	1.9493E-9	
3480	7.25104E-9	
3490	7.42205E-9	
3500	7.85073E-9	
3510	3.02966E-8	
3520	5.57086E-9	
3530	3.8171E-9	
3540	6.58031E-9	
3550	2.03662E-9	
3560	4.68759E-9	
3570	3.27656E-9	
3580	3.67579E-10	
3590	1.65959E-8	
3600	1.96991E-8	
3610	1.53881E-8	
3620	2.84717E-9	
3630	3.23409E-9	
3640	1.02949E-8	
3650	6.22274E-9	
3660	8.98293E-10	
3670	3.8223E-9	
3680	7.00674E-9	
3690	1.95838E-8	
3700	1.34241E-8	
3710	9.75116E-8	
3720	8.21952E-11	
3730	1.39062E-8	
3740	5.82076E-9	
3750	1.18213E-8	
3760	7.20012E-9	
3770	5.68329E-9	
3780	7.23457E-9	
3790	1.27696E-9	
3800	1.63249E-8	
3810	5.23901E-8	
3820	8.14936E-10	
3830	4.26457E-10	
3840	6.52644E-9	
3850	1.54308E-8	
3860	5.14436E-9	
3870	4.27641E-9	
3880	3.46126E-9	
3890	5.51694E-9	
3900	1.57833E-10	
3910	2.07699E-8	
3920	1.07074E-8	
3930	9.22257E-10	
3940	6.91337E-10	
3950	3.78672E-9	
3960	7.86208E-9	
3970	1.37719E-9	
3980	1.92344E-9	
3990	8.31254E-10	
4000	4.30667E-9	
4010	9.7261E-9	
4020	9.78918E-10	
4030	2.73383E-9	
4040	2.47436E-9	
4050	5.13756E-9	
4060	2.82096E-9	
4070	4.92857E-10	
4080	5.71498E-10	
4090	8.17837E-9	
4100	6.36149E-9	
4110	4.10155E-10	
4120	1.8745E-9	
4130	2.03579E-9	
4140	2.26511E-9	
4150	7.64534E-11	
4160	2.06457E-10	
4170	2.99206E-9	
4180	6.66367E-9	
4190	1.7429E-9	
4200	1.3481E-9	
4210	7.2086E-9	
4220	5.08347E-10	
4230	2.68062E-10	
4240	1.08786E-9	
4250	7.67268E-9	
4260	3.88099E-9	
4270	7.13078E-9	
4280	4.91028E-9	
4290	8.62536E-9	
4300	2.26879E-9	
4310	2.95124E-9	
4320	3.22222E-9	
4330	3.50731E-9	
4340	4.18689E-9	
4350	2.19038E-9	
4360	1.69171E-9	
4370	4.4454E-9	
4380	5.89283E-9	
4390	1.09677E-8	
4400	9.66463E-9	
4410	7.66322E-9	
4420	6.05627E-10	
4430	8.78409E-10	
4440	3.62442E-9	
4450	5.67883E-10	
4460	1.52029E-9	
4470	7.88101E-10	
4480	9.78016E-9	
4490	4.53971E-9	
4500	1.65182E-9	
4510	4.93062E-10	
4520	8.42076E-9	
4530	4.62385E-9	
4540	1.46487E-9	
4550	2.62129E-9	
4560	5.16495E-9	
4570	5.42603E-10	
4580	4.25052E-9	
4590	3.87464E-9	
4600	1.98565E-10	
4610	8.50514E-9	
4620	1.94029E-9	
4630	3.80434E-9	
4640	4.50797E-9	
4650	2.2368E-9	
4660	8.9034E-9	
4670	1.04809E-9	
4680	5.40672E-9	
4690	1.09831E-9	
4700	1.39939E-9	
4710	5.31064E-9	
4720	5.79894E-9	
4730	7.02439E-9	
4740	2.12239E-9	
4750	6.54814E-10	
4760	1.37535E-9	
4770	1.70545E-9	
4780	2.91798E-11	
4790	6.11824E-9	
4800	1.09432E-9	
4810	1.44743E-9	
4820	4.4606E-9	
4830	1.32371E-8	
4840	1.81477E-9	
4850	1.99838E-10	
4860	1.27267E-9	
4870	7.04567E-9	
4880	1.85983E-11	
4890	8.64884E-9	
4900	8.66444E-9	
4910	1.22395E-9	
4920	4.53428E-9	
4930	3.38747E-9	
4940	2.91788E-10	
4950	4.30462E-9	
4960	2.87294E-10	
4970	2.19861E-9	
4980	3.76598E-9	
4990	4.77798E-10	
