Frequency (Hz) - Left Channel (Power Spectrum)	Amplitude - Left Channel (Power Spectrum)	Frequency (Hz) - Right Channel (Power Spectrum)	Amplitude - Right Channel (Power Spectrum)	
0	3.61764E-7	0	2.06798E-6	
2.666667	2.63765E-7	2.666667	1.43026E-6	
5.333333	9.48893E-7	5.333333	1.25328E-6	
8	2.0203E-6	8	1.49977E-6	
10.666667	2.13823E-6	10.666667	2.53277E-6	
13.333333	7.87134E-7	13.333333	8.9694E-7	
16	7.03524E-7	16	7.7259E-7	
18.666667	1.46327E-6	18.666667	1.95387E-6	
21.333333	1.63786E-6	21.333333	1.80729E-6	
24	1.6811E-6	24	1.02082E-6	
26.666667	1.622E-6	26.666667	4.09903E-6	
29.333333	1.11502E-7	29.333333	6.34134E-7	
32	2.70579E-7	32	1.97416E-7	
34.666667	3.51262E-5	34.666667	3.8266E-5	
37.333333	8.20684E-5	37.333333	7.57086E-5	
40	3.51801E-5	40	3.71662E-5	
42.666667	0.000165129	42.666667	0.000173775	
45.333333	6.73595E-5	45.333333	7.63871E-5	
48	1.1991E-5	48	1.56797E-5	
50.666667	2.81509E-6	50.666667	2.83049E-6	
53.333333	3.8607E-6	53.333333	5.39841E-6	
56	1.46097E-5	56	1.35467E-5	
58.666667	2.44406E-5	58.666667	2.54592E-5	
61.333333	4.92181E-5	61.333333	5.7707E-5	
64	4.9175E-5	64	5.29663E-5	
66.666667	3.67828E-5	66.666667	4.07603E-5	
69.333333	8.09485E-6	69.333333	7.7118E-6	
72	9.63889E-7	72	1.04462E-6	
74.666667	2.37457E-5	74.666667	2.44722E-5	
77.333333	6.56766E-5	77.333333	6.36951E-5	
80	3.52375E-5	80	4.11841E-5	
82.666667	0.000101684	82.666667	9.48394E-5	
85.333333	6.20811E-5	85.333333	6.49062E-5	
88	2.87432E-5	88	2.84469E-5	
90.666667	3.48558E-8	90.666667	6.67773E-8	
93.333333	1.38268E-5	93.333333	1.32015E-5	
96	1.79236E-5	96	1.78401E-5	
98.666667	3.66443E-5	98.666667	3.57074E-5	
101.333333	2.86582E-5	101.333333	3.10706E-5	
104	2.52509E-5	104	2.98595E-5	
106.666667	2.39151E-5	106.666667	2.84894E-5	
109.333333	9.17925E-6	109.333333	1.43455E-5	
112	6.06566E-6	112	7.59862E-6	
114.666667	3.41559E-6	114.666667	3.6981E-6	
117.333333	2.51264E-6	117.333333	5.59677E-6	
120	1.06766E-5	120	1.23919E-5	
122.666667	3.4989E-5	122.666667	4.22762E-5	
125.333333	3.08092E-5	125.333333	3.39305E-5	
128	9.63993E-6	128	7.62889E-6	
130.666667	6.86943E-6	130.666667	3.00589E-5	
133.333333	5.41836E-6	133.333333	7.91631E-6	
136	2.1069E-6	136	6.74636E-5	
138.666667	1.06509E-5	138.666667	7.51237E-5	
141.333333	2.87316E-6	141.333333	5.89619E-6	
144	5.00541E-7	144	7.41379E-6	
146.666667	1.92088E-7	146.666667	1.25425E-6	
149.333333	6.2293E-6	149.333333	3.49866E-6	
152	3.32957E-6	152	2.03103E-6	
154.666667	2.37006E-6	154.666667	1.60618E-6	
157.333333	1.49765E-6	157.333333	1.61719E-6	
160	7.66126E-7	160	1.73259E-6	
162.666667	1.80224E-7	162.666667	5.42079E-6	
165.333333	4.55686E-6	165.333333	9.87211E-6	
168	4.04256E-6	168	5.42053E-6	
170.666667	4.81127E-8	170.666667	4.29859E-7	
173.333333	6.08512E-7	173.333333	5.56568E-7	
176	3.48216E-7	176	3.83154E-7	
178.666667	4.50198E-8	178.666667	2.04066E-7	
181.333333	2.26977E-6	181.333333	1.57979E-6	
184	3.27202E-6	184	6.44553E-6	
186.666667	1.90408E-6	186.666667	2.78965E-7	
189.333333	2.3763E-7	189.333333	5.03134E-7	
